Site,Plot,Species,adult,rec,
SP,1,Mytilus trossulus,77,7,
SP,1,Mya arenaria,0,214,
SP,1,Cyanoplax fernaldi,26,,
SP,1,Dyanmenella sheareri,107,,
SP,1,Tetrastemma bilineata,6,,
SP,1,Emplectonema gracile,12,,
SP,1,Idotea wosnesenskii,1,,
SP,1,Lirularia succincta,1,,
SP,1,Amphissa columbiana,1,,
SP,1,Lottia digitalis,33,17,
SP,1,Littorina scutulata/plena adult,15,42,
SP,1,Lottia paradigitalis,16,8,
SP,1,Lottia pelta,1,,
SP,1,Syllidae,3,,
SP,1,Nereis vexillosa,6,,
SP,1,Oedoperena adult,1,,
SP,1,Oedoperena larva,1,,
SP,1,Ampithoe dalli,22,,
SP,1,Sinelobus stanfordi,13,,
SP,1,Onchidoris bilamelatta,4,1,
SP,1,Annelid,1,,leechy thing
SP,1,Flatworm,2,,
CC,1,Mytilus trossulus,12,,
CC,1,Cyanoplax fernaldi,56,33,
CC,1,Katharina tunicata,1,,
CC,1,Dyanmenella sheareri,72,,
CC,1,Tetrastemma bilineata,36,3,
CC,1,Emplectonema gracile,9,,
CC,1,Idotea wosnesenskii,1,,
CC,1,Lirularia succincta,20,,
CC,1,Lottia digitalis,22,25,
CC,1,Littorina scutulata/plena adult,7,8,
CC,1,Lottia paradigitalis,9,6,
CC,1,Lottia pelta,27,25,
CC,1,Syllidae,13,,
CC,1,Nereidae,21,,
CC,1,Oedoperena adult,,,
CC,1,Oedoperena larva,,,
CC,1,Ampithoe dalli,7,,
CC,1,Sinelobus stanfordi,5,,
CC,1,Onchidoris bilamelatta,52,34,
CC,1,Spionidae,2,,"large quad-lobed palp, four eyes in centre, caruncle?"
CC,1,Pontogeneia intermedia,30,,"white w/ black eye, blunt but split telson, rostrum tiny, antennae similar size, no accessory flagella"
CC,1,Nucella lamellosa,2,,
CC,1,Nucella canaliculata,2,,
CC,1,Littorina sitkana,1,,
CC,1,Pagurus hirsuitusculus,1,,
CC,1,Anthopleura elegantissima,8,,
CC,1,Platyhelminthes,4,,
CC,1,Amphiporus,2,,
CC,5,Mytilus trossulus,4,4,
CC,5,Cyanoplax fernaldi,13,3,
CC,5,Katharina tunicata,0,,
CC,5,Dyanmenella sheareri,270,,
CC,5,Tetrastemma bilineata,11,,
CC,5,Emplectonema gracile,50,,
CC,5,Idotea wosnesenskii,0,,
CC,5,Lirularia succincta,5,,
CC,5,Lottia digitalis,81,28,
CC,5,Littorina scutulata/plena,3,1,
CC,5,Lottia paradigitalis,2,2,
CC,5,Lottia pelta,22,24,
CC,5,Syllidae,12,,
CC,5,Nereidae,24,,
CC,5,Oedoperena adult,0,,
CC,5,Oedoperena larva,0,,
CC,5,Ampithoe dalli,13,,
CC,5,Sinelobus stanfordi,5,,
CC,5,Onchidoris bilamelatta,75,25,
CC,5,Platyhelminthes,23,,
CC,5,Pontogeneia intermedia,8,,
CC,5,Nucella lamellosa,7,,
CC,5,Nucella canaliculata,2,,
CC,5,Littorina sitkana,0,,
CC,5,Pagurus hirsuitusculus,0,,
CC,5,Anthopleura elegantissima,0,,
CC,5,Amphiporus,0,,
CC,5,Amphissa columbiana,1,,
CC,5,Spionidae,14,,
CC,2,Mytilus trossulus,5,3,
CC,2,Cyanoplax fernaldi,25,65,
CC,2,Katharina tunicata,0,,
CC,2,Dyanmenella sheareri,115,,
CC,2,Tetrastemma bilineata,11,,
CC,2,Emplectonema gracile,15,,
CC,2,Idotea wosnesenskii,2,,
CC,2,Lirularia succincta,1,,
CC,2,Lottia digitalis,25,8,
CC,2,Littorina scutulata/plena,2,2,
CC,2,Lottia paradigitalis,14,1,
CC,2,Lottia pelta,4,10,
CC,2,Syllidae,10,,
CC,2,Nereidae,21,,
CC,2,Oedoperena adult,2,,
CC,2,Oedoperena larva,0,,
CC,2,Ampithoe dalli,1,,
CC,2,Sinelobus stanfordi,5,,
CC,2,Onchidoris bilamelatta,66,44,
CC,2,Platyhelminthes,10,,
CC,2,Pontogeneia intermedia,24,,
CC,2,Nucella lamellosa,0,,
CC,2,Nucella canaliculata,5,,
CC,2,Littorina sitkana,0,,
CC,2,Pagurus hirsuitusculus,0,,
CC,2,Anthopleura elegantissima,2,,
CC,2,Amphiporus,0,,
CC,2,Amphissa columbiana,0,,
CC,2,Spionidae,3,,
CC,2,Holothurodiae,5,,
CC,2,Leptasterias hexactis,1,,
CC,2,Nematoda,1,,
CC,2,Synidotea,1,,
CC,2,Phascolosoma agassizzii,1,,
SP,3,Mytilus trossulus,27,5,
SP,3,Cyanoplax fernaldi,10,4,
SP,3,Katharina tunicata,0,,
SP,3,Dyanmenella sheareri,143,,
SP,3,Tetrastemma bilineata,1,,
SP,3,Emplectonema gracile,20,,
SP,3,Idotea wosnesenskii,0,,
SP,3,Lirularia succincta,0,,
SP,3,Lottia digitalis,61,11,
SP,3,Littorina scutulata/plena,9,6,
SP,3,Lottia paradigitalis,8,1,
SP,3,Lottia pelta,3,10,
SP,3,Syllidae,14,,
SP,3,Nereidae,5,,
SP,3,Oedoperena adult,1,,
SP,3,Oedoperena larva,2,,
