site,plot,treatment,species,count,cover_square,cover_prop
CC,1,bare,barn_rec,113,,
CC,1,bare,anthopleura,1,,
CC,1,bare,semibalanus,0,,
CC,1,bare,chthamalus,0,,
CC,1,bare,balanus,0,,
CC,1,bare,fucus,0,,
CC,1,bare,ralfsia,,2.5,0.1
CC,1,bare,onchidoris,0,,
CC,1,bare,lottia_digitalis,0,,
CC,1,bare,lottia_paradigitalis,0,,
CC,1,bare,lottia_pelta,0,,
CC,1,bare,lottia_rec,0,,
CC,1,bare,nucella_lamellosa,0,,
CC,1,half,barn_rec,163,,
CC,1,half,anthopleura,1,,
CC,1,half,semibalanus,114,,
CC,1,half,chthamalus,2,,
CC,1,half,balanus,0,,
CC,1,half,fucus,,0.1,0.004
CC,1,half,ralfsia,,2,0.08
CC,1,half,onchidoris,7,,
CC,1,half,lottia_digitalis,5,,
CC,1,half,lottia_paradigitalis,0,,
CC,1,half,lottia_pelta,4,,
CC,1,half,lottia_rec,2,,
CC,1,half,nucella_lamellosa,0,,
CC,1,full,barn_rec,108,,
CC,1,full,anthopleura,5,,
CC,1,full,semibalanus,135,,
CC,1,full,chthamalus,0,,
CC,1,full,balanus,0,,
CC,1,full,fucus,,0.1,0.004
CC,1,full,ralfsia,,1.5,0.06
CC,1,full,onchidoris,6,,
CC,1,full,lottia_digitalis,1,,
CC,1,full,lottia_paradigitalis,0,,
CC,1,full,lottia_pelta,4,,
CC,1,full,lottia_rec,0,,
CC,1,full,nucella_lamellosa,0,,
CC,5,bare,barn_rec,480,,
CC,5,bare,anthopleura,0,,
CC,5,bare,semibalanus,0,,
CC,5,bare,chthamalus,0,,
CC,5,bare,balanus,0,,
CC,5,bare,fucus,0,,
CC,5,bare,ralfsia,,0,0
CC,5,bare,onchidoris,0,,
CC,5,bare,lottia_digitalis,1,,
CC,5,bare,lottia_paradigitalis,4,,
CC,5,bare,lottia_pelta,0,,
CC,5,bare,lottia_rec,0,,
CC,5,bare,nucella_lamellosa,1,,
CC,5,bare,ulva,,0.1,0.004
CC,5,bare,pyropia,,0.2,0.008
CC,5,full,barn_rec,135,,
CC,5,full,anthopleura,0,,
CC,5,full,semibalanus,120,,
CC,5,full,chthamalus,0,,
CC,5,full,balanus,0,,
CC,5,full,fucus,,0.1,0.004
CC,5,full,ralfsia,,3.5,0.14
CC,5,full,onchidoris,1,,
CC,5,full,lottia_digitalis,11,,
CC,5,full,lottia_paradigitalis,0,,
CC,5,full,lottia_pelta,0,,
CC,5,full,lottia_rec,6,,
CC,5,full,nucella_lamellosa,0,,
CC,5,full,ulva,,0.1,0.004
CC,5,half,barn_rec,991,,
CC,5,half,anthopleura,0,,
CC,5,half,semibalanus,49,,
CC,5,half,chthamalus,0,,
CC,5,half,balanus,0,,
CC,5,half,fucus,,0,0
CC,5,half,ralfsia,,0.5,0.02
CC,5,half,onchidoris,1,,
CC,5,half,lottia_digitalis,0,,
CC,5,half,lottia_paradigitalis,1,,
CC,5,half,lottia_pelta,3,,
CC,5,half,lottia_rec,1,,
CC,5,half,nucella_lamellosa,0,,
CC,5,half,ulva,,0.2,0.008
CC,6,bare,barn_rec,1133,,
CC,6,bare,anthopleura,0,,
CC,6,bare,semibalanus,0,,
CC,6,bare,chthamalus,0,,
CC,6,bare,balanus,0,,
CC,6,bare,fucus,0,,
CC,6,bare,ralfsia,0,,
CC,6,bare,onchidoris,0,,
CC,6,bare,lottia_digitalis,0,,
CC,6,bare,lottia_paradigitalis,0,,
CC,6,bare,lottia_pelta,0,,
CC,6,bare,lottia_rec,0,,
CC,6,bare,nucella_lamellosa,0,,
CC,6,bare,ulva,0,,
CC,6,full,barn_rec,95,,
CC,6,full,anthopleura,20,,
CC,6,full,semibalanus,15,,
CC,6,full,chthamalus,0,,
CC,6,full,balanus,0,,
CC,6,full,fucus,,0,0
CC,6,full,ralfsia,,1.5,0.06
CC,6,full,onchidoris,0,,
CC,6,full,lottia_digitalis,0,,
CC,6,full,lottia_paradigitalis,0,,
CC,6,full,lottia_pelta,0,,
CC,6,full,lottia_rec,0,,
CC,6,full,nucella_lamellosa,0,,
CC,6,full,halosaccion,,0.2,0.008
CC,6,full,corallina_officinalis,,1.5,0.06
CC,6,half,barn_rec,230,,
CC,6,half,anthopleura,6,,
CC,6,half,semibalanus,15,,
CC,6,half,chthamalus,0,,
CC,6,half,balanus,0,,
CC,6,half,fucus,,2.5,0.1
CC,6,half,ralfsia,,0.5,0.02
CC,6,half,onchidoris,0,,
CC,6,half,lottia_digitalis,0,,
CC,6,half,lottia_paradigitalis,0,,
CC,6,half,lottia_pelta,0,,
CC,6,half,lottia_rec,0,,
CC,6,half,nucella_lamellosa,0,,
CC,6,half,ulva,,0.1,0.004
SP,1,bare,lottia_paradigitalis,4,,
SP,1,bare,lottia_digitalis,0,,
SP,1,bare,littorina_scut,1,,
SP,1,bare,littorina_sit,0,,
SP,1,bare,chthamalus,20,,
SP,1,bare,semibalanus,0,,
SP,1,bare,balanus,0,,
SP,1,bare,mytilus_trossulus,0,,
SP,1,bare,nucella_ostrina,0,,
SP,1,bare,endocladia,,0,0
SP,1,bare,fucus,,0,0
SP,1,bare,ralfsia,,0,0
SP,1,half,lottia_paradigitalis,6,,
SP,1,half,lottia_digitalis,27,,
SP,1,half,littorina_scut,13,,
SP,1,half,littorina_sit,1,,
SP,1,half,chthamalus,23,,
SP,1,half,semibalanus,33,,
SP,1,half,balanus,7,,
SP,1,half,mytilus_trossulus,6,,
SP,1,half,nucella_ostrina,1,,
SP,1,half,endocladia,,1.25,0.05
SP,1,half,fucus,,0.4,0.016
SP,1,half,ralfsia,,0.1,0.004
SP,1,full,lottia_paradigitalis,9,,
SP,1,full,lottia_digitalis,30,,
SP,1,full,littorina_scut,28,,
SP,1,full,littorina_sit,0,,
SP,1,full,chthamalus,91,,
SP,1,full,semibalanus,68,,
SP,1,full,balanus,25,,
SP,1,full,mytilus_trossulus,4,,
SP,1,full,nucella_ostrina,0,,
SP,1,full,endocladia,,0,0
SP,1,full,fucus,,0,0
SP,1,full,ralfsia,,0,0
SP,6,bare,lottia_paradigitalis,1,,
SP,6,bare,lottia_digitalis,3,,
SP,6,bare,littorina_scut,0,,
SP,6,bare,littorina_sit,0,,
SP,6,bare,chthamalus,0,,
SP,6,bare,semibalanus,0,,
SP,6,bare,balanus,0,,
SP,6,bare,mytilus_trossulus,0,,
SP,6,bare,nucella_ostrina,0,,
SP,6,bare,endocladia,,0,0
SP,6,bare,fucus,,0,0
SP,6,bare,ralfsia,,0,0
SP,6,full,lottia_paradigitalis,1,,
SP,6,full,lottia_digitalis,43,,
SP,6,full,littorina_scut,21,,
SP,6,full,littorina_sit,0,,
SP,6,full,chthamalus,1,,
SP,6,full,semibalanus,69,,
SP,6,full,balanus,2,,
SP,6,full,mytilus_trossulus,4,,
SP,6,full,nucella_ostrina,1,,
SP,6,full,endocladia,,0.5,0.02
SP,6,full,fucus,,0,0
SP,6,full,ralfsia,,0,0
SP,6,full,anthopleura,2,,
SP,6,half,lottia_paradigitalis,2,,
SP,6,half,lottia_digitalis,26,,
SP,6,half,littorina_scut,8,,
SP,6,half,littorina_sit,0,,
SP,6,half,chthamalus,44,,
SP,6,half,semibalanus,58,,
SP,6,half,balanus,13,,
SP,6,half,mytilus_trossulus,2,,
SP,6,half,nucella_ostrina,2,,
SP,6,half,endocladia,,0,0
SP,6,half,fucus,,0,0
SP,6,half,ralfsia,,0,0
SP,7,bare,lottia_paradigitalis,2,,
SP,7,bare,lottia_digitalis,0,,
SP,7,bare,littorina_scut,1,,
SP,7,bare,littorina_sit,0,,
SP,7,bare,chthamalus,1,,
SP,7,bare,semibalanus,0,,
SP,7,bare,balanus,0,,
SP,7,bare,mytilus_trossulus,0,,
SP,7,bare,nucella_ostrina,0,,
SP,7,bare,endocladia,,0,0
SP,7,bare,fucus,,0,0
SP,7,bare,ralfsia,,0,0
SP,7,full,lottia_paradigitalis,1,,
SP,7,full,lottia_digitalis,30,,
SP,7,full,littorina_scut,24,,
SP,7,full,littorina_sit,0,,
SP,7,full,chthamalus,105,,
SP,7,full,semibalanus,28,,
SP,7,full,balanus,42,,
SP,7,full,mytilus_trossulus,1,,
SP,7,full,nucella_ostrina,1,,
SP,7,full,endocladia,,0,0
SP,7,full,fucus,,0.2,0.008
