1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 170000002E522021
Is Mission Active?  true
Mission Start:  Wed May 13 14:45:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  2332
Total Samples:  781178
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
13/05/20 2:45:00 PM,C,29.5
13/05/20 3:45:00 PM,C,28
13/05/20 4:45:00 PM,C,25.5
13/05/20 5:45:00 PM,C,22.5
13/05/20 6:45:00 PM,C,12
13/05/20 7:45:00 PM,C,10
13/05/20 8:45:00 PM,C,9.5
13/05/20 9:45:00 PM,C,9.5
13/05/20 10:45:00 PM,C,9.5
13/05/20 11:45:00 PM,C,9.5
14/05/20 12:45:00 AM,C,9.5
14/05/20 1:45:00 AM,C,9.5
14/05/20 2:45:00 AM,C,9.5
14/05/20 3:45:00 AM,C,9.5
14/05/20 4:45:00 AM,C,9.5
14/05/20 5:45:00 AM,C,9.5
14/05/20 6:45:00 AM,C,9.5
14/05/20 7:45:00 AM,C,9.5
14/05/20 8:45:00 AM,C,9.5
14/05/20 9:45:00 AM,C,9.5
14/05/20 10:45:00 AM,C,10
14/05/20 11:45:00 AM,C,12.5
14/05/20 12:45:00 PM,C,24.5
14/05/20 1:45:00 PM,C,29
14/05/20 2:45:00 PM,C,28
14/05/20 3:45:00 PM,C,26.5
14/05/20 4:45:00 PM,C,24
14/05/20 5:45:00 PM,C,22
14/05/20 6:45:00 PM,C,16
14/05/20 7:45:00 PM,C,11
14/05/20 8:45:00 PM,C,10
14/05/20 9:45:00 PM,C,10
14/05/20 10:45:00 PM,C,10
14/05/20 11:45:00 PM,C,10
15/05/20 12:45:00 AM,C,9.5
15/05/20 1:45:00 AM,C,9.5
15/05/20 2:45:00 AM,C,9.5
15/05/20 3:45:00 AM,C,9.5
15/05/20 4:45:00 AM,C,9.5
15/05/20 5:45:00 AM,C,9.5
15/05/20 6:45:00 AM,C,9.5
15/05/20 7:45:00 AM,C,10
15/05/20 8:45:00 AM,C,10
15/05/20 9:45:00 AM,C,10
15/05/20 10:45:00 AM,C,10
15/05/20 11:45:00 AM,C,10.5
15/05/20 12:45:00 PM,C,13
15/05/20 1:45:00 PM,C,25
15/05/20 2:45:00 PM,C,27
15/05/20 3:45:00 PM,C,27.5
15/05/20 4:45:00 PM,C,26.5
15/05/20 5:45:00 PM,C,21
15/05/20 6:45:00 PM,C,18
15/05/20 7:45:00 PM,C,15.5
15/05/20 8:45:00 PM,C,11
15/05/20 9:45:00 PM,C,10
15/05/20 10:45:00 PM,C,10
15/05/20 11:45:00 PM,C,9.5
16/05/20 12:45:00 AM,C,9.5
16/05/20 1:45:00 AM,C,9.5
16/05/20 2:45:00 AM,C,9.5
16/05/20 3:45:00 AM,C,9.5
16/05/20 4:45:00 AM,C,9.5
16/05/20 5:45:00 AM,C,9.5
16/05/20 6:45:00 AM,C,9.5
16/05/20 7:45:00 AM,C,10
16/05/20 8:45:00 AM,C,9.5
16/05/20 9:45:00 AM,C,9.5
16/05/20 10:45:00 AM,C,9.5
16/05/20 11:45:00 AM,C,9.5
16/05/20 12:45:00 PM,C,9.5
16/05/20 1:45:00 PM,C,9.5
16/05/20 2:45:00 PM,C,10
16/05/20 3:45:00 PM,C,10.5
16/05/20 4:45:00 PM,C,11
16/05/20 5:45:00 PM,C,11
16/05/20 6:45:00 PM,C,10
16/05/20 7:45:00 PM,C,9.5
16/05/20 8:45:00 PM,C,9.5
16/05/20 9:45:00 PM,C,9.5
16/05/20 10:45:00 PM,C,9.5
16/05/20 11:45:00 PM,C,9.5
17/05/20 12:45:00 AM,C,9.5
17/05/20 1:45:00 AM,C,9.5
17/05/20 2:45:00 AM,C,9.5
17/05/20 3:45:00 AM,C,9.5
17/05/20 4:45:00 AM,C,9.5
17/05/20 5:45:00 AM,C,9.5
17/05/20 6:45:00 AM,C,9.5
17/05/20 7:45:00 AM,C,9.5
17/05/20 8:45:00 AM,C,9.5
17/05/20 9:45:00 AM,C,9.5
17/05/20 10:45:00 AM,C,9.5
17/05/20 11:45:00 AM,C,9.5
17/05/20 12:45:00 PM,C,10
17/05/20 1:45:00 PM,C,10
17/05/20 2:45:00 PM,C,12
17/05/20 3:45:00 PM,C,11.5
17/05/20 4:45:00 PM,C,11
17/05/20 5:45:00 PM,C,10.5
17/05/20 6:45:00 PM,C,10.5
17/05/20 7:45:00 PM,C,10
17/05/20 8:45:00 PM,C,10
17/05/20 9:45:00 PM,C,10
17/05/20 10:45:00 PM,C,10
17/05/20 11:45:00 PM,C,10
18/05/20 12:45:00 AM,C,9.5
18/05/20 1:45:00 AM,C,9.5
18/05/20 2:45:00 AM,C,9.5
18/05/20 3:45:00 AM,C,9.5
18/05/20 4:45:00 AM,C,9.5
18/05/20 5:45:00 AM,C,9.5
18/05/20 6:45:00 AM,C,10
18/05/20 7:45:00 AM,C,11.5
18/05/20 8:45:00 AM,C,12.5
18/05/20 9:45:00 AM,C,15
18/05/20 10:45:00 AM,C,14
18/05/20 11:45:00 AM,C,10.5
18/05/20 12:45:00 PM,C,10
18/05/20 1:45:00 PM,C,10
18/05/20 2:45:00 PM,C,11
18/05/20 3:45:00 PM,C,12
18/05/20 4:45:00 PM,C,10.5
18/05/20 5:45:00 PM,C,11
18/05/20 6:45:00 PM,C,10.5
18/05/20 7:45:00 PM,C,10.5
18/05/20 8:45:00 PM,C,10.5
18/05/20 9:45:00 PM,C,10.5
18/05/20 10:45:00 PM,C,10.5
18/05/20 11:45:00 PM,C,10
19/05/20 12:45:00 AM,C,10
19/05/20 1:45:00 AM,C,9.5
19/05/20 2:45:00 AM,C,9.5
19/05/20 3:45:00 AM,C,9.5
19/05/20 4:45:00 AM,C,9.5
19/05/20 5:45:00 AM,C,9.5
19/05/20 6:45:00 AM,C,9.5
19/05/20 7:45:00 AM,C,13
19/05/20 8:45:00 AM,C,19
19/05/20 9:45:00 AM,C,22.5
19/05/20 10:45:00 AM,C,21.5
19/05/20 11:45:00 AM,C,23.5
19/05/20 12:45:00 PM,C,11
19/05/20 1:45:00 PM,C,10.5
19/05/20 2:45:00 PM,C,10
19/05/20 3:45:00 PM,C,10.5
19/05/20 4:45:00 PM,C,10.5
19/05/20 5:45:00 PM,C,11
19/05/20 6:45:00 PM,C,11
19/05/20 7:45:00 PM,C,10.5
19/05/20 8:45:00 PM,C,10.5
19/05/20 9:45:00 PM,C,10.5
19/05/20 10:45:00 PM,C,10.5
19/05/20 11:45:00 PM,C,10
20/05/20 12:45:00 AM,C,10
20/05/20 1:45:00 AM,C,9.5
20/05/20 2:45:00 AM,C,9.5
20/05/20 3:45:00 AM,C,9.5
20/05/20 4:45:00 AM,C,9.5
20/05/20 5:45:00 AM,C,9.5
20/05/20 6:45:00 AM,C,10
20/05/20 7:45:00 AM,C,11
20/05/20 8:45:00 AM,C,12.5
20/05/20 9:45:00 AM,C,12.5
20/05/20 10:45:00 AM,C,18.5
20/05/20 11:45:00 AM,C,16
20/05/20 12:45:00 PM,C,10.5
20/05/20 1:45:00 PM,C,10
20/05/20 2:45:00 PM,C,10
20/05/20 3:45:00 PM,C,10
20/05/20 4:45:00 PM,C,10
20/05/20 5:45:00 PM,C,10
20/05/20 6:45:00 PM,C,10.5
20/05/20 7:45:00 PM,C,10
20/05/20 8:45:00 PM,C,10
20/05/20 9:45:00 PM,C,10
20/05/20 10:45:00 PM,C,10
20/05/20 11:45:00 PM,C,10
21/05/20 12:45:00 AM,C,10
21/05/20 1:45:00 AM,C,10
21/05/20 2:45:00 AM,C,9.5
21/05/20 3:45:00 AM,C,9
21/05/20 4:45:00 AM,C,9
21/05/20 5:45:00 AM,C,9
21/05/20 6:45:00 AM,C,9.5
21/05/20 7:45:00 AM,C,9.5
21/05/20 8:45:00 AM,C,12
21/05/20 9:45:00 AM,C,17.5
21/05/20 10:45:00 AM,C,19.5
21/05/20 11:45:00 AM,C,22
21/05/20 12:45:00 PM,C,21.5
21/05/20 1:45:00 PM,C,11
21/05/20 2:45:00 PM,C,10
21/05/20 3:45:00 PM,C,10
21/05/20 4:45:00 PM,C,10
21/05/20 5:45:00 PM,C,10
21/05/20 6:45:00 PM,C,10
21/05/20 7:45:00 PM,C,10
21/05/20 8:45:00 PM,C,10
21/05/20 9:45:00 PM,C,10
21/05/20 10:45:00 PM,C,10
21/05/20 11:45:00 PM,C,10
22/05/20 12:45:00 AM,C,9.5
22/05/20 1:45:00 AM,C,10
22/05/20 2:45:00 AM,C,9.5
22/05/20 3:45:00 AM,C,9.5
22/05/20 4:45:00 AM,C,9.5
22/05/20 5:45:00 AM,C,9.5
22/05/20 6:45:00 AM,C,9.5
22/05/20 7:45:00 AM,C,13.5
22/05/20 8:45:00 AM,C,14.5
22/05/20 9:45:00 AM,C,21
22/05/20 10:45:00 AM,C,24
22/05/20 11:45:00 AM,C,27
22/05/20 12:45:00 PM,C,29
22/05/20 1:45:00 PM,C,22
22/05/20 2:45:00 PM,C,10.5
22/05/20 3:45:00 PM,C,10.5
22/05/20 4:45:00 PM,C,10
22/05/20 5:45:00 PM,C,10.5
22/05/20 6:45:00 PM,C,10.5
22/05/20 7:45:00 PM,C,10.5
22/05/20 8:45:00 PM,C,10.5
22/05/20 9:45:00 PM,C,10
22/05/20 10:45:00 PM,C,10
22/05/20 11:45:00 PM,C,10
23/05/20 12:45:00 AM,C,10
23/05/20 1:45:00 AM,C,10
23/05/20 2:45:00 AM,C,10
23/05/20 3:45:00 AM,C,9.5
23/05/20 4:45:00 AM,C,9.5
23/05/20 5:45:00 AM,C,9.5
23/05/20 6:45:00 AM,C,9.5
23/05/20 7:45:00 AM,C,11
23/05/20 8:45:00 AM,C,13
23/05/20 9:45:00 AM,C,17.5
23/05/20 10:45:00 AM,C,24.5
23/05/20 11:45:00 AM,C,28
23/05/20 12:45:00 PM,C,30
23/05/20 1:45:00 PM,C,29.5
23/05/20 2:45:00 PM,C,25
23/05/20 3:45:00 PM,C,11
23/05/20 4:45:00 PM,C,10.5
23/05/20 5:45:00 PM,C,10.5
23/05/20 6:45:00 PM,C,10.5
23/05/20 7:45:00 PM,C,10.5
23/05/20 8:45:00 PM,C,10.5
23/05/20 9:45:00 PM,C,10
23/05/20 10:45:00 PM,C,10.5
23/05/20 11:45:00 PM,C,10
24/05/20 12:45:00 AM,C,10
24/05/20 1:45:00 AM,C,10
24/05/20 2:45:00 AM,C,10
24/05/20 3:45:00 AM,C,9.5
24/05/20 4:45:00 AM,C,9.5
24/05/20 5:45:00 AM,C,9.5
24/05/20 6:45:00 AM,C,9.5
24/05/20 7:45:00 AM,C,11
24/05/20 8:45:00 AM,C,12
24/05/20 9:45:00 AM,C,14
24/05/20 10:45:00 AM,C,17
24/05/20 11:45:00 AM,C,23.5
24/05/20 12:45:00 PM,C,27.5
24/05/20 1:45:00 PM,C,29.5
24/05/20 2:45:00 PM,C,27
24/05/20 3:45:00 PM,C,24.5
24/05/20 4:45:00 PM,C,11
24/05/20 5:45:00 PM,C,11.5
24/05/20 6:45:00 PM,C,11
24/05/20 7:45:00 PM,C,10.5
24/05/20 8:45:00 PM,C,10
24/05/20 9:45:00 PM,C,10
24/05/20 10:45:00 PM,C,10
24/05/20 11:45:00 PM,C,10
25/05/20 12:45:00 AM,C,10
25/05/20 1:45:00 AM,C,10
25/05/20 2:45:00 AM,C,10
25/05/20 3:45:00 AM,C,10
25/05/20 4:45:00 AM,C,9.5
25/05/20 5:45:00 AM,C,9.5
25/05/20 6:45:00 AM,C,10
25/05/20 7:45:00 AM,C,10
25/05/20 8:45:00 AM,C,12
25/05/20 9:45:00 AM,C,13
25/05/20 10:45:00 AM,C,14
25/05/20 11:45:00 AM,C,13
25/05/20 12:45:00 PM,C,13.5
25/05/20 1:45:00 PM,C,14.5
25/05/20 2:45:00 PM,C,18.5
25/05/20 3:45:00 PM,C,16
25/05/20 4:45:00 PM,C,10.5
25/05/20 5:45:00 PM,C,10
25/05/20 6:45:00 PM,C,10
25/05/20 7:45:00 PM,C,10
25/05/20 8:45:00 PM,C,10
25/05/20 9:45:00 PM,C,10
25/05/20 10:45:00 PM,C,10
25/05/20 11:45:00 PM,C,9.5
26/05/20 12:45:00 AM,C,9.5
26/05/20 1:45:00 AM,C,9.5
26/05/20 2:45:00 AM,C,9.5
26/05/20 3:45:00 AM,C,9.5
26/05/20 4:45:00 AM,C,9.5
26/05/20 5:45:00 AM,C,9.5
26/05/20 6:45:00 AM,C,9.5
26/05/20 7:45:00 AM,C,9.5
26/05/20 8:45:00 AM,C,15
26/05/20 9:45:00 AM,C,22
26/05/20 10:45:00 AM,C,28
26/05/20 11:45:00 AM,C,31
26/05/20 12:45:00 PM,C,33
26/05/20 1:45:00 PM,C,35.5
26/05/20 2:45:00 PM,C,35.5
26/05/20 3:45:00 PM,C,34
26/05/20 4:45:00 PM,C,31
26/05/20 5:45:00 PM,C,11.5
26/05/20 6:45:00 PM,C,11
26/05/20 7:45:00 PM,C,11.5
26/05/20 8:45:00 PM,C,11
26/05/20 9:45:00 PM,C,10.5
26/05/20 10:45:00 PM,C,10.5
26/05/20 11:45:00 PM,C,10.5
27/05/20 12:45:00 AM,C,10.5
27/05/20 1:45:00 AM,C,10
27/05/20 2:45:00 AM,C,10
27/05/20 3:45:00 AM,C,10
27/05/20 4:45:00 AM,C,9.5
27/05/20 5:45:00 AM,C,10
27/05/20 6:45:00 AM,C,10
27/05/20 7:45:00 AM,C,10
27/05/20 8:45:00 AM,C,11.5
27/05/20 9:45:00 AM,C,21
27/05/20 10:45:00 AM,C,27
27/05/20 11:45:00 AM,C,30
27/05/20 12:45:00 PM,C,32.5
27/05/20 1:45:00 PM,C,34
27/05/20 2:45:00 PM,C,33
27/05/20 3:45:00 PM,C,32
27/05/20 4:45:00 PM,C,29.5
27/05/20 5:45:00 PM,C,24.5
27/05/20 6:45:00 PM,C,11
27/05/20 7:45:00 PM,C,12
27/05/20 8:45:00 PM,C,11.5
27/05/20 9:45:00 PM,C,10.5
27/05/20 10:45:00 PM,C,10.5
27/05/20 11:45:00 PM,C,10.5
28/05/20 12:45:00 AM,C,10.5
28/05/20 1:45:00 AM,C,10
28/05/20 2:45:00 AM,C,10
28/05/20 3:45:00 AM,C,10
28/05/20 4:45:00 AM,C,10
28/05/20 5:45:00 AM,C,10
28/05/20 6:45:00 AM,C,10
28/05/20 7:45:00 AM,C,10
28/05/20 8:45:00 AM,C,10
28/05/20 9:45:00 AM,C,17
28/05/20 10:45:00 AM,C,20
28/05/20 11:45:00 AM,C,29.5
28/05/20 12:45:00 PM,C,33.5
28/05/20 1:45:00 PM,C,34
28/05/20 2:45:00 PM,C,35
28/05/20 3:45:00 PM,C,33.5
28/05/20 4:45:00 PM,C,30.5
28/05/20 5:45:00 PM,C,27
28/05/20 6:45:00 PM,C,15.5
28/05/20 7:45:00 PM,C,11
28/05/20 8:45:00 PM,C,11
28/05/20 9:45:00 PM,C,10.5
28/05/20 10:45:00 PM,C,10.5
28/05/20 11:45:00 PM,C,10.5
29/05/20 12:45:00 AM,C,10.5
29/05/20 1:45:00 AM,C,10.5
29/05/20 2:45:00 AM,C,10.5
29/05/20 3:45:00 AM,C,10
29/05/20 4:45:00 AM,C,10
29/05/20 5:45:00 AM,C,10
29/05/20 6:45:00 AM,C,10.5
29/05/20 7:45:00 AM,C,10.5
29/05/20 8:45:00 AM,C,10.5
29/05/20 9:45:00 AM,C,10.5
29/05/20 10:45:00 AM,C,11
29/05/20 11:45:00 AM,C,18.5
29/05/20 12:45:00 PM,C,28
29/05/20 1:45:00 PM,C,28.5
29/05/20 2:45:00 PM,C,26.5
29/05/20 3:45:00 PM,C,30
29/05/20 4:45:00 PM,C,26.5
29/05/20 5:45:00 PM,C,23.5
29/05/20 6:45:00 PM,C,12.5
29/05/20 7:45:00 PM,C,10.5
29/05/20 8:45:00 PM,C,10.5
29/05/20 9:45:00 PM,C,10
29/05/20 10:45:00 PM,C,10
29/05/20 11:45:00 PM,C,10
30/05/20 12:45:00 AM,C,10
30/05/20 1:45:00 AM,C,10
30/05/20 2:45:00 AM,C,10
30/05/20 3:45:00 AM,C,10
30/05/20 4:45:00 AM,C,10
30/05/20 5:45:00 AM,C,10
30/05/20 6:45:00 AM,C,10
30/05/20 7:45:00 AM,C,10
30/05/20 8:45:00 AM,C,10
30/05/20 9:45:00 AM,C,10
30/05/20 10:45:00 AM,C,10
