1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 54000000511DD721
Is Mission Active?  true
Mission Start:  Wed May 13 14:44:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  2332
Total Samples:  9168
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
13/05/20 2:44:00 PM,C,26.5
13/05/20 3:44:00 PM,C,26
13/05/20 4:44:00 PM,C,25
13/05/20 5:44:00 PM,C,23.5
13/05/20 6:44:00 PM,C,11.5
13/05/20 7:44:00 PM,C,10.5
13/05/20 8:44:00 PM,C,10.5
13/05/20 9:44:00 PM,C,10.5
13/05/20 10:44:00 PM,C,10.5
13/05/20 11:44:00 PM,C,10.5
14/05/20 12:44:00 AM,C,10.5
14/05/20 1:44:00 AM,C,10
14/05/20 2:44:00 AM,C,10
14/05/20 3:44:00 AM,C,10
14/05/20 4:44:00 AM,C,10
14/05/20 5:44:00 AM,C,10
14/05/20 6:44:00 AM,C,10
14/05/20 7:44:00 AM,C,10
14/05/20 8:44:00 AM,C,10
14/05/20 9:44:00 AM,C,10
14/05/20 10:44:00 AM,C,10.5
14/05/20 11:44:00 AM,C,11
14/05/20 12:44:00 PM,C,18
14/05/20 1:44:00 PM,C,23.5
14/05/20 2:44:00 PM,C,24.5
14/05/20 3:44:00 PM,C,25
14/05/20 4:44:00 PM,C,24.5
14/05/20 5:44:00 PM,C,24
14/05/20 6:44:00 PM,C,19.5
14/05/20 7:44:00 PM,C,11.5
14/05/20 8:44:00 PM,C,10.5
14/05/20 9:44:00 PM,C,10.5
14/05/20 10:44:00 PM,C,10.5
14/05/20 11:44:00 PM,C,10.5
15/05/20 12:44:00 AM,C,10.5
15/05/20 1:44:00 AM,C,10.5
15/05/20 2:44:00 AM,C,10.5
15/05/20 3:44:00 AM,C,10.5
15/05/20 4:44:00 AM,C,10.5
15/05/20 5:44:00 AM,C,10.5
15/05/20 6:44:00 AM,C,10.5
15/05/20 7:44:00 AM,C,10.5
15/05/20 8:44:00 AM,C,10.5
15/05/20 9:44:00 AM,C,11
15/05/20 10:44:00 AM,C,10.5
15/05/20 11:44:00 AM,C,10.5
15/05/20 12:44:00 PM,C,11
15/05/20 1:44:00 PM,C,17.5
15/05/20 2:44:00 PM,C,23
15/05/20 3:44:00 PM,C,25
15/05/20 4:44:00 PM,C,25.5
15/05/20 5:44:00 PM,C,21
15/05/20 6:44:00 PM,C,19.5
15/05/20 7:44:00 PM,C,14.5
15/05/20 8:44:00 PM,C,11.5
15/05/20 9:44:00 PM,C,10.5
15/05/20 10:44:00 PM,C,10.5
15/05/20 11:44:00 PM,C,10.5
16/05/20 12:44:00 AM,C,10.5
16/05/20 1:44:00 AM,C,10.5
16/05/20 2:44:00 AM,C,10.5
16/05/20 3:44:00 AM,C,10.5
16/05/20 4:44:00 AM,C,10.5
16/05/20 5:44:00 AM,C,10.5
16/05/20 6:44:00 AM,C,10.5
16/05/20 7:44:00 AM,C,10.5
16/05/20 8:44:00 AM,C,10.5
16/05/20 9:44:00 AM,C,10
16/05/20 10:44:00 AM,C,10
16/05/20 11:44:00 AM,C,10
16/05/20 12:44:00 PM,C,10
16/05/20 1:44:00 PM,C,10.5
16/05/20 2:44:00 PM,C,10.5
16/05/20 3:44:00 PM,C,10.5
16/05/20 4:44:00 PM,C,10.5
16/05/20 5:44:00 PM,C,10.5
16/05/20 6:44:00 PM,C,10.5
16/05/20 7:44:00 PM,C,10.5
16/05/20 8:44:00 PM,C,10.5
16/05/20 9:44:00 PM,C,10
16/05/20 10:44:00 PM,C,10
16/05/20 11:44:00 PM,C,10
17/05/20 12:44:00 AM,C,10
17/05/20 1:44:00 AM,C,10
17/05/20 2:44:00 AM,C,10
17/05/20 3:44:00 AM,C,10
17/05/20 4:44:00 AM,C,10
17/05/20 5:44:00 AM,C,10
17/05/20 6:44:00 AM,C,10
17/05/20 7:44:00 AM,C,10
17/05/20 8:44:00 AM,C,10
17/05/20 9:44:00 AM,C,10.5
17/05/20 10:44:00 AM,C,10
17/05/20 11:44:00 AM,C,10
17/05/20 12:44:00 PM,C,10.5
17/05/20 1:44:00 PM,C,10.5
17/05/20 2:44:00 PM,C,11
17/05/20 3:44:00 PM,C,11.5
17/05/20 4:44:00 PM,C,11.5
17/05/20 5:44:00 PM,C,11.5
17/05/20 6:44:00 PM,C,11
17/05/20 7:44:00 PM,C,10.5
17/05/20 8:44:00 PM,C,11
17/05/20 9:44:00 PM,C,11
17/05/20 10:44:00 PM,C,11
17/05/20 11:44:00 PM,C,10.5
18/05/20 12:44:00 AM,C,10
18/05/20 1:44:00 AM,C,10
18/05/20 2:44:00 AM,C,10
18/05/20 3:44:00 AM,C,10
18/05/20 4:44:00 AM,C,10
18/05/20 5:44:00 AM,C,10
18/05/20 6:44:00 AM,C,10
18/05/20 7:44:00 AM,C,10.5
18/05/20 8:44:00 AM,C,11
18/05/20 9:44:00 AM,C,11
18/05/20 10:44:00 AM,C,11
18/05/20 11:44:00 AM,C,11
18/05/20 12:44:00 PM,C,10.5
18/05/20 1:44:00 PM,C,10.5
18/05/20 2:44:00 PM,C,11
18/05/20 3:44:00 PM,C,11
18/05/20 4:44:00 PM,C,11
18/05/20 5:44:00 PM,C,11.5
18/05/20 6:44:00 PM,C,11.5
18/05/20 7:44:00 PM,C,11
18/05/20 8:44:00 PM,C,11
18/05/20 9:44:00 PM,C,11
18/05/20 10:44:00 PM,C,11
18/05/20 11:44:00 PM,C,11
19/05/20 12:44:00 AM,C,10.5
19/05/20 1:44:00 AM,C,10.5
19/05/20 2:44:00 AM,C,10
19/05/20 3:44:00 AM,C,10
19/05/20 4:44:00 AM,C,10
19/05/20 5:44:00 AM,C,10.5
19/05/20 6:44:00 AM,C,10.5
19/05/20 7:44:00 AM,C,11
19/05/20 8:44:00 AM,C,16
19/05/20 9:44:00 AM,C,18
19/05/20 10:44:00 AM,C,14.5
