1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0D0000002E405C21
Is Mission Active?  true
Mission Start:  Sat Apr 04 19:00:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  3264
Total Samples:  782072
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
04/04/20 7:00:00 PM,C,19
04/04/20 8:00:00 PM,C,6.5
04/04/20 9:00:00 PM,C,5.5
04/04/20 10:00:00 PM,C,5.5
04/04/20 11:00:00 PM,C,5
05/04/20 12:00:00 AM,C,7.5
05/04/20 1:00:00 AM,C,8
05/04/20 2:00:00 AM,C,8
05/04/20 3:00:00 AM,C,8
05/04/20 4:00:00 AM,C,8
05/04/20 5:00:00 AM,C,8
05/04/20 6:00:00 AM,C,8
05/04/20 7:00:00 AM,C,8
05/04/20 8:00:00 AM,C,8
05/04/20 9:00:00 AM,C,8
05/04/20 10:00:00 AM,C,8
05/04/20 11:00:00 AM,C,8
05/04/20 12:00:00 PM,C,8.5
05/04/20 1:00:00 PM,C,8.5
05/04/20 2:00:00 PM,C,8.5
05/04/20 3:00:00 PM,C,8.5
05/04/20 4:00:00 PM,C,11
05/04/20 5:00:00 PM,C,13
05/04/20 6:00:00 PM,C,13
05/04/20 7:00:00 PM,C,10.5
05/04/20 8:00:00 PM,C,8
05/04/20 9:00:00 PM,C,7
05/04/20 10:00:00 PM,C,5.5
05/04/20 11:00:00 PM,C,5
06/04/20 12:00:00 AM,C,4
06/04/20 1:00:00 AM,C,8
06/04/20 2:00:00 AM,C,8
06/04/20 3:00:00 AM,C,8
06/04/20 4:00:00 AM,C,8
06/04/20 5:00:00 AM,C,8
06/04/20 6:00:00 AM,C,8
06/04/20 7:00:00 AM,C,7.5
06/04/20 8:00:00 AM,C,5
06/04/20 9:00:00 AM,C,8.5
06/04/20 10:00:00 AM,C,12
06/04/20 11:00:00 AM,C,8.5
06/04/20 12:00:00 PM,C,8.5
06/04/20 1:00:00 PM,C,9
06/04/20 2:00:00 PM,C,9
06/04/20 3:00:00 PM,C,9
06/04/20 4:00:00 PM,C,9
06/04/20 5:00:00 PM,C,10
06/04/20 6:00:00 PM,C,9.5
06/04/20 7:00:00 PM,C,10
06/04/20 8:00:00 PM,C,8
06/04/20 9:00:00 PM,C,7
06/04/20 10:00:00 PM,C,6
06/04/20 11:00:00 PM,C,7
07/04/20 12:00:00 AM,C,8.5
07/04/20 1:00:00 AM,C,8.5
07/04/20 2:00:00 AM,C,8.5
07/04/20 3:00:00 AM,C,8.5
07/04/20 4:00:00 AM,C,8.5
07/04/20 5:00:00 AM,C,8
07/04/20 6:00:00 AM,C,8
07/04/20 7:00:00 AM,C,8
07/04/20 8:00:00 AM,C,7
07/04/20 9:00:00 AM,C,9.5
07/04/20 10:00:00 AM,C,13.5
07/04/20 11:00:00 AM,C,13.5
07/04/20 12:00:00 PM,C,10.5
07/04/20 1:00:00 PM,C,9
07/04/20 2:00:00 PM,C,9
07/04/20 3:00:00 PM,C,9
07/04/20 4:00:00 PM,C,9
07/04/20 5:00:00 PM,C,9.5
07/04/20 6:00:00 PM,C,12.5
07/04/20 7:00:00 PM,C,10.5
07/04/20 8:00:00 PM,C,8
07/04/20 9:00:00 PM,C,6.5
07/04/20 10:00:00 PM,C,6
07/04/20 11:00:00 PM,C,5.5
08/04/20 12:00:00 AM,C,5.5
08/04/20 1:00:00 AM,C,8
08/04/20 2:00:00 AM,C,8
08/04/20 3:00:00 AM,C,8
08/04/20 4:00:00 AM,C,8
08/04/20 5:00:00 AM,C,8
08/04/20 6:00:00 AM,C,8
08/04/20 7:00:00 AM,C,6.5
08/04/20 8:00:00 AM,C,6
08/04/20 9:00:00 AM,C,9.5
08/04/20 10:00:00 AM,C,12.5
08/04/20 11:00:00 AM,C,16
08/04/20 12:00:00 PM,C,19.5
08/04/20 1:00:00 PM,C,21.5
08/04/20 2:00:00 PM,C,15
08/04/20 3:00:00 PM,C,9.5
08/04/20 4:00:00 PM,C,9.5
08/04/20 5:00:00 PM,C,9
08/04/20 6:00:00 PM,C,9
08/04/20 7:00:00 PM,C,9.5
08/04/20 8:00:00 PM,C,7.5
08/04/20 9:00:00 PM,C,6.5
08/04/20 10:00:00 PM,C,6.5
08/04/20 11:00:00 PM,C,6
09/04/20 12:00:00 AM,C,5.5
09/04/20 1:00:00 AM,C,8.5
09/04/20 2:00:00 AM,C,8.5
09/04/20 3:00:00 AM,C,8.5
09/04/20 4:00:00 AM,C,8.5
09/04/20 5:00:00 AM,C,8.5
09/04/20 6:00:00 AM,C,8.5
09/04/20 7:00:00 AM,C,8
09/04/20 8:00:00 AM,C,6.5
09/04/20 9:00:00 AM,C,10.5
09/04/20 10:00:00 AM,C,14
09/04/20 11:00:00 AM,C,16.5
09/04/20 12:00:00 PM,C,19.5
09/04/20 1:00:00 PM,C,21.5
09/04/20 2:00:00 PM,C,23.5
09/04/20 3:00:00 PM,C,22.5
09/04/20 4:00:00 PM,C,10
09/04/20 5:00:00 PM,C,9.5
09/04/20 6:00:00 PM,C,9.5
09/04/20 7:00:00 PM,C,9.5
09/04/20 8:00:00 PM,C,9
09/04/20 9:00:00 PM,C,8.5
09/04/20 10:00:00 PM,C,8.5
09/04/20 11:00:00 PM,C,8.5
10/04/20 12:00:00 AM,C,8.5
10/04/20 1:00:00 AM,C,8.5
10/04/20 2:00:00 AM,C,8.5
10/04/20 3:00:00 AM,C,8.5
10/04/20 4:00:00 AM,C,8.5
10/04/20 5:00:00 AM,C,8.5
10/04/20 6:00:00 AM,C,8.5
10/04/20 7:00:00 AM,C,8.5
10/04/20 8:00:00 AM,C,8.5
10/04/20 9:00:00 AM,C,11
10/04/20 10:00:00 AM,C,14
10/04/20 11:00:00 AM,C,17.5
10/04/20 12:00:00 PM,C,20
10/04/20 1:00:00 PM,C,21.5
10/04/20 2:00:00 PM,C,21
10/04/20 3:00:00 PM,C,16.5
10/04/20 4:00:00 PM,C,10
10/04/20 5:00:00 PM,C,9
10/04/20 6:00:00 PM,C,9
10/04/20 7:00:00 PM,C,9
10/04/20 8:00:00 PM,C,9
10/04/20 9:00:00 PM,C,9
10/04/20 10:00:00 PM,C,9
10/04/20 11:00:00 PM,C,9
11/04/20 12:00:00 AM,C,8.5
11/04/20 1:00:00 AM,C,8.5
11/04/20 2:00:00 AM,C,8.5
11/04/20 3:00:00 AM,C,8.5
11/04/20 4:00:00 AM,C,8.5
11/04/20 5:00:00 AM,C,8.5
11/04/20 6:00:00 AM,C,8.5
11/04/20 7:00:00 AM,C,8.5
11/04/20 8:00:00 AM,C,8.5
11/04/20 9:00:00 AM,C,9
11/04/20 10:00:00 AM,C,14
11/04/20 11:00:00 AM,C,16.5
11/04/20 12:00:00 PM,C,19.5
11/04/20 1:00:00 PM,C,22
11/04/20 2:00:00 PM,C,24
11/04/20 3:00:00 PM,C,25
11/04/20 4:00:00 PM,C,24.5
11/04/20 5:00:00 PM,C,22
11/04/20 6:00:00 PM,C,10.5
11/04/20 7:00:00 PM,C,9
11/04/20 8:00:00 PM,C,9
11/04/20 9:00:00 PM,C,9
11/04/20 10:00:00 PM,C,9
11/04/20 11:00:00 PM,C,9
12/04/20 12:00:00 AM,C,8.5
12/04/20 1:00:00 AM,C,8.5
12/04/20 2:00:00 AM,C,8.5
12/04/20 3:00:00 AM,C,8.5
12/04/20 4:00:00 AM,C,8.5
12/04/20 5:00:00 AM,C,8.5
12/04/20 6:00:00 AM,C,8.5
12/04/20 7:00:00 AM,C,8.5
12/04/20 8:00:00 AM,C,8.5
12/04/20 9:00:00 AM,C,9
12/04/20 10:00:00 AM,C,13
12/04/20 11:00:00 AM,C,16
12/04/20 12:00:00 PM,C,19
12/04/20 1:00:00 PM,C,22
12/04/20 2:00:00 PM,C,23
12/04/20 3:00:00 PM,C,23
12/04/20 4:00:00 PM,C,23.5
12/04/20 5:00:00 PM,C,23
12/04/20 6:00:00 PM,C,21.5
12/04/20 7:00:00 PM,C,17
12/04/20 8:00:00 PM,C,9.5
12/04/20 9:00:00 PM,C,9
12/04/20 10:00:00 PM,C,9
12/04/20 11:00:00 PM,C,9
13/04/20 12:00:00 AM,C,9
13/04/20 1:00:00 AM,C,9
13/04/20 2:00:00 AM,C,8.5
13/04/20 3:00:00 AM,C,8.5
13/04/20 4:00:00 AM,C,8.5
13/04/20 5:00:00 AM,C,8.5
13/04/20 6:00:00 AM,C,8.5
13/04/20 7:00:00 AM,C,8.5
13/04/20 8:00:00 AM,C,8.5
13/04/20 9:00:00 AM,C,8.5
13/04/20 10:00:00 AM,C,14
13/04/20 11:00:00 AM,C,16.5
13/04/20 12:00:00 PM,C,19
