1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 580000002E16FC21
Is Mission Active?  true
Mission Start:  Thu May 14 14:44:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  2308
Total Samples:  782888
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
14/05/20 2:44:00 PM,C,31
14/05/20 3:44:00 PM,C,31.5
14/05/20 4:44:00 PM,C,31
14/05/20 5:44:00 PM,C,28
14/05/20 6:44:00 PM,C,24
14/05/20 7:44:00 PM,C,12.5
14/05/20 8:44:00 PM,C,11.5
14/05/20 9:44:00 PM,C,11
14/05/20 10:44:00 PM,C,11
14/05/20 11:44:00 PM,C,11
15/05/20 12:44:00 AM,C,11
15/05/20 1:44:00 AM,C,10.5
15/05/20 2:44:00 AM,C,10
15/05/20 3:44:00 AM,C,10
15/05/20 4:44:00 AM,C,10
15/05/20 5:44:00 AM,C,10
15/05/20 6:44:00 AM,C,9.5
15/05/20 7:44:00 AM,C,10
15/05/20 8:44:00 AM,C,10
15/05/20 9:44:00 AM,C,10.5
15/05/20 10:44:00 AM,C,11
15/05/20 11:44:00 AM,C,13
15/05/20 12:44:00 PM,C,23.5
15/05/20 1:44:00 PM,C,28
15/05/20 2:44:00 PM,C,32
15/05/20 3:44:00 PM,C,33.5
15/05/20 4:44:00 PM,C,32.5
15/05/20 5:44:00 PM,C,24
15/05/20 6:44:00 PM,C,21
15/05/20 7:44:00 PM,C,18.5
15/05/20 8:44:00 PM,C,11.5
15/05/20 9:44:00 PM,C,11
15/05/20 10:44:00 PM,C,10.5
15/05/20 11:44:00 PM,C,10.5
16/05/20 12:44:00 AM,C,10.5
16/05/20 1:44:00 AM,C,10.5
16/05/20 2:44:00 AM,C,11
16/05/20 3:44:00 AM,C,10.5
16/05/20 4:44:00 AM,C,10.5
16/05/20 5:44:00 AM,C,10
16/05/20 6:44:00 AM,C,10
16/05/20 7:44:00 AM,C,9.5
16/05/20 8:44:00 AM,C,10
16/05/20 9:44:00 AM,C,10
16/05/20 10:44:00 AM,C,10
16/05/20 11:44:00 AM,C,10
16/05/20 12:44:00 PM,C,10
16/05/20 1:44:00 PM,C,10.5
16/05/20 2:44:00 PM,C,10.5
16/05/20 3:44:00 PM,C,11
16/05/20 4:44:00 PM,C,14
16/05/20 5:44:00 PM,C,13
16/05/20 6:44:00 PM,C,10.5
16/05/20 7:44:00 PM,C,10
16/05/20 8:44:00 PM,C,10
16/05/20 9:44:00 PM,C,10
16/05/20 10:44:00 PM,C,10
16/05/20 11:44:00 PM,C,9.5
17/05/20 12:44:00 AM,C,10
17/05/20 1:44:00 AM,C,10
