1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F50000002E099021
Is Mission Active?  true
Mission Start:  Thu May 14 14:45:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  2308
Total Samples:  783137
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
14/05/20 2:45:00 PM,C,28
14/05/20 3:45:00 PM,C,28
14/05/20 4:45:00 PM,C,28
14/05/20 5:45:00 PM,C,25
14/05/20 6:45:00 PM,C,22.5
14/05/20 7:45:00 PM,C,13
14/05/20 8:45:00 PM,C,11
14/05/20 9:45:00 PM,C,11
14/05/20 10:45:00 PM,C,10.5
14/05/20 11:45:00 PM,C,10.5
15/05/20 12:45:00 AM,C,10.5
15/05/20 1:45:00 AM,C,10
15/05/20 2:45:00 AM,C,10
15/05/20 3:45:00 AM,C,10
15/05/20 4:45:00 AM,C,10
15/05/20 5:45:00 AM,C,10
15/05/20 6:45:00 AM,C,9.5
15/05/20 7:45:00 AM,C,9.5
15/05/20 8:45:00 AM,C,10
15/05/20 9:45:00 AM,C,10.5
15/05/20 10:45:00 AM,C,11
15/05/20 11:45:00 AM,C,15.5
15/05/20 12:45:00 PM,C,22.5
15/05/20 1:45:00 PM,C,26.5
15/05/20 2:45:00 PM,C,30
15/05/20 3:45:00 PM,C,31.5
15/05/20 4:45:00 PM,C,30
15/05/20 5:45:00 PM,C,23.5
15/05/20 6:45:00 PM,C,19.5
15/05/20 7:45:00 PM,C,16.5
15/05/20 8:45:00 PM,C,12
15/05/20 9:45:00 PM,C,10.5
15/05/20 10:45:00 PM,C,10.5
15/05/20 11:45:00 PM,C,10.5
16/05/20 12:45:00 AM,C,10.5
16/05/20 1:45:00 AM,C,10
16/05/20 2:45:00 AM,C,10.5
16/05/20 3:45:00 AM,C,10.5
16/05/20 4:45:00 AM,C,10
16/05/20 5:45:00 AM,C,9.5
16/05/20 6:45:00 AM,C,9.5
16/05/20 7:45:00 AM,C,9.5
16/05/20 8:45:00 AM,C,9.5
16/05/20 9:45:00 AM,C,9.5
16/05/20 10:45:00 AM,C,10
16/05/20 11:45:00 AM,C,9.5
16/05/20 12:45:00 PM,C,10.5
16/05/20 1:45:00 PM,C,12.5
16/05/20 2:45:00 PM,C,14
16/05/20 3:45:00 PM,C,13.5
16/05/20 4:45:00 PM,C,15.5
16/05/20 5:45:00 PM,C,15
16/05/20 6:45:00 PM,C,14.5
16/05/20 7:45:00 PM,C,11.5
16/05/20 8:45:00 PM,C,9.5
16/05/20 9:45:00 PM,C,9.5
16/05/20 10:45:00 PM,C,9.5
16/05/20 11:45:00 PM,C,9.5
17/05/20 12:45:00 AM,C,9.5
17/05/20 1:45:00 AM,C,9.5
17/05/20 2:45:00 AM,C,9.5
17/05/20 3:45:00 AM,C,9.5
17/05/20 4:45:00 AM,C,9.5
17/05/20 5:45:00 AM,C,9.5
17/05/20 6:45:00 AM,C,10
17/05/20 7:45:00 AM,C,10.5
17/05/20 8:45:00 AM,C,11
17/05/20 9:45:00 AM,C,12
17/05/20 10:45:00 AM,C,10.5
17/05/20 11:45:00 AM,C,10.5
17/05/20 12:45:00 PM,C,10.5
17/05/20 1:45:00 PM,C,13
17/05/20 2:45:00 PM,C,16
17/05/20 3:45:00 PM,C,14
17/05/20 4:45:00 PM,C,12.5
17/05/20 5:45:00 PM,C,12.5
17/05/20 6:45:00 PM,C,14
17/05/20 7:45:00 PM,C,11
17/05/20 8:45:00 PM,C,10
17/05/20 9:45:00 PM,C,10
17/05/20 10:45:00 PM,C,9.5
17/05/20 11:45:00 PM,C,9.5
18/05/20 12:45:00 AM,C,9.5
18/05/20 1:45:00 AM,C,9.5
18/05/20 2:45:00 AM,C,10
18/05/20 3:45:00 AM,C,9.5
18/05/20 4:45:00 AM,C,9.5
18/05/20 5:45:00 AM,C,9
18/05/20 6:45:00 AM,C,9
18/05/20 7:45:00 AM,C,11
18/05/20 8:45:00 AM,C,14
18/05/20 9:45:00 AM,C,20.5
18/05/20 10:45:00 AM,C,23.5
18/05/20 11:45:00 AM,C,21
18/05/20 12:45:00 PM,C,11.5
18/05/20 1:45:00 PM,C,11
18/05/20 2:45:00 PM,C,12
18/05/20 3:45:00 PM,C,12
18/05/20 4:45:00 PM,C,11.5
18/05/20 5:45:00 PM,C,11.5
18/05/20 6:45:00 PM,C,11.5
18/05/20 7:45:00 PM,C,11
18/05/20 8:45:00 PM,C,10.5
18/05/20 9:45:00 PM,C,10
18/05/20 10:45:00 PM,C,10.5
18/05/20 11:45:00 PM,C,10
19/05/20 12:45:00 AM,C,9.5
19/05/20 1:45:00 AM,C,9.5
19/05/20 2:45:00 AM,C,10
19/05/20 3:45:00 AM,C,10.5
19/05/20 4:45:00 AM,C,10
19/05/20 5:45:00 AM,C,9.5
19/05/20 6:45:00 AM,C,9.5
19/05/20 7:45:00 AM,C,11
19/05/20 8:45:00 AM,C,15
19/05/20 9:45:00 AM,C,19
19/05/20 10:45:00 AM,C,24
19/05/20 11:45:00 AM,C,27
19/05/20 12:45:00 PM,C,24.5
19/05/20 1:45:00 PM,C,12
19/05/20 2:45:00 PM,C,11.5
19/05/20 3:45:00 PM,C,11.5
19/05/20 4:45:00 PM,C,11.5
19/05/20 5:45:00 PM,C,11
19/05/20 6:45:00 PM,C,11
19/05/20 7:45:00 PM,C,11
19/05/20 8:45:00 PM,C,10.5
19/05/20 9:45:00 PM,C,10
19/05/20 10:45:00 PM,C,10
19/05/20 11:45:00 PM,C,10.5
20/05/20 12:45:00 AM,C,10
20/05/20 1:45:00 AM,C,10
20/05/20 2:45:00 AM,C,10
20/05/20 3:45:00 AM,C,10.5
20/05/20 4:45:00 AM,C,10.5
20/05/20 5:45:00 AM,C,10.5
20/05/20 6:45:00 AM,C,11
20/05/20 7:45:00 AM,C,11.5
20/05/20 8:45:00 AM,C,12.5
20/05/20 9:45:00 AM,C,12.5
20/05/20 10:45:00 AM,C,19
20/05/20 11:45:00 AM,C,13
20/05/20 12:45:00 PM,C,12
20/05/20 1:45:00 PM,C,10.5
20/05/20 2:45:00 PM,C,11
20/05/20 3:45:00 PM,C,11
20/05/20 4:45:00 PM,C,11
20/05/20 5:45:00 PM,C,11
20/05/20 6:45:00 PM,C,11
20/05/20 7:45:00 PM,C,11
20/05/20 8:45:00 PM,C,10.5
20/05/20 9:45:00 PM,C,10
20/05/20 10:45:00 PM,C,10
20/05/20 11:45:00 PM,C,10
21/05/20 12:45:00 AM,C,10
21/05/20 1:45:00 AM,C,10
21/05/20 2:45:00 AM,C,10
21/05/20 3:45:00 AM,C,10
21/05/20 4:45:00 AM,C,10
21/05/20 5:45:00 AM,C,10
21/05/20 6:45:00 AM,C,9.5
21/05/20 7:45:00 AM,C,10.5
21/05/20 8:45:00 AM,C,14.5
21/05/20 9:45:00 AM,C,13.5
21/05/20 10:45:00 AM,C,17
21/05/20 11:45:00 AM,C,20
21/05/20 12:45:00 PM,C,20
21/05/20 1:45:00 PM,C,12
21/05/20 2:45:00 PM,C,10.5
21/05/20 3:45:00 PM,C,10.5
21/05/20 4:45:00 PM,C,10
21/05/20 5:45:00 PM,C,10.5
21/05/20 6:45:00 PM,C,10.5
21/05/20 7:45:00 PM,C,10
21/05/20 8:45:00 PM,C,10
21/05/20 9:45:00 PM,C,10
21/05/20 10:45:00 PM,C,10
21/05/20 11:45:00 PM,C,10
22/05/20 12:45:00 AM,C,10
22/05/20 1:45:00 AM,C,10
22/05/20 2:45:00 AM,C,10
22/05/20 3:45:00 AM,C,10
22/05/20 4:45:00 AM,C,10
22/05/20 5:45:00 AM,C,10
22/05/20 6:45:00 AM,C,9.5
22/05/20 7:45:00 AM,C,11
22/05/20 8:45:00 AM,C,12
22/05/20 9:45:00 AM,C,16.5
22/05/20 10:45:00 AM,C,19.5
22/05/20 11:45:00 AM,C,17
22/05/20 12:45:00 PM,C,19.5
22/05/20 1:45:00 PM,C,18.5
22/05/20 2:45:00 PM,C,12
22/05/20 3:45:00 PM,C,10.5
22/05/20 4:45:00 PM,C,10.5
22/05/20 5:45:00 PM,C,10.5
22/05/20 6:45:00 PM,C,10.5
22/05/20 7:45:00 PM,C,10.5
22/05/20 8:45:00 PM,C,10.5
22/05/20 9:45:00 PM,C,10.5
22/05/20 10:45:00 PM,C,10
22/05/20 11:45:00 PM,C,10
23/05/20 12:45:00 AM,C,10
23/05/20 1:45:00 AM,C,10
23/05/20 2:45:00 AM,C,9.5
23/05/20 3:45:00 AM,C,9.5
23/05/20 4:45:00 AM,C,9.5
23/05/20 5:45:00 AM,C,9.5
23/05/20 6:45:00 AM,C,8.5
23/05/20 7:45:00 AM,C,10.5
23/05/20 8:45:00 AM,C,14
23/05/20 9:45:00 AM,C,15.5
23/05/20 10:45:00 AM,C,22.5
23/05/20 11:45:00 AM,C,23.5
23/05/20 12:45:00 PM,C,26
23/05/20 1:45:00 PM,C,26.5
23/05/20 2:45:00 PM,C,18.5
23/05/20 3:45:00 PM,C,12.5
23/05/20 4:45:00 PM,C,11
23/05/20 5:45:00 PM,C,10.5
23/05/20 6:45:00 PM,C,11
23/05/20 7:45:00 PM,C,11
23/05/20 8:45:00 PM,C,10.5
23/05/20 9:45:00 PM,C,10
23/05/20 10:45:00 PM,C,10
23/05/20 11:45:00 PM,C,10
24/05/20 12:45:00 AM,C,10
24/05/20 1:45:00 AM,C,10
24/05/20 2:45:00 AM,C,10
24/05/20 3:45:00 AM,C,10
24/05/20 4:45:00 AM,C,10
24/05/20 5:45:00 AM,C,10
24/05/20 6:45:00 AM,C,10
24/05/20 7:45:00 AM,C,11.5
24/05/20 8:45:00 AM,C,12
24/05/20 9:45:00 AM,C,13.5
24/05/20 10:45:00 AM,C,16
24/05/20 11:45:00 AM,C,19.5
24/05/20 12:45:00 PM,C,24.5
24/05/20 1:45:00 PM,C,27.5
24/05/20 2:45:00 PM,C,29.5
24/05/20 3:45:00 PM,C,29.5
24/05/20 4:45:00 PM,C,20
24/05/20 5:45:00 PM,C,12.5
24/05/20 6:45:00 PM,C,11
24/05/20 7:45:00 PM,C,11
24/05/20 8:45:00 PM,C,11
24/05/20 9:45:00 PM,C,10.5
24/05/20 10:45:00 PM,C,10.5
24/05/20 11:45:00 PM,C,10.5
25/05/20 12:45:00 AM,C,10
25/05/20 1:45:00 AM,C,10
25/05/20 2:45:00 AM,C,9.5
25/05/20 3:45:00 AM,C,10
25/05/20 4:45:00 AM,C,10
25/05/20 5:45:00 AM,C,10
25/05/20 6:45:00 AM,C,10
25/05/20 7:45:00 AM,C,11
25/05/20 8:45:00 AM,C,12
25/05/20 9:45:00 AM,C,13
25/05/20 10:45:00 AM,C,13
25/05/20 11:45:00 AM,C,12
25/05/20 12:45:00 PM,C,13
25/05/20 1:45:00 PM,C,14
25/05/20 2:45:00 PM,C,16
25/05/20 3:45:00 PM,C,14.5
25/05/20 4:45:00 PM,C,11
25/05/20 5:45:00 PM,C,10.5
25/05/20 6:45:00 PM,C,10.5
25/05/20 7:45:00 PM,C,10.5
25/05/20 8:45:00 PM,C,10.5
25/05/20 9:45:00 PM,C,10
25/05/20 10:45:00 PM,C,10
25/05/20 11:45:00 PM,C,10
26/05/20 12:45:00 AM,C,10
26/05/20 1:45:00 AM,C,10
26/05/20 2:45:00 AM,C,9.5
26/05/20 3:45:00 AM,C,9.5
26/05/20 4:45:00 AM,C,9.5
26/05/20 5:45:00 AM,C,9.5
26/05/20 6:45:00 AM,C,10
26/05/20 7:45:00 AM,C,10.5
26/05/20 8:45:00 AM,C,15.5
26/05/20 9:45:00 AM,C,18.5
26/05/20 10:45:00 AM,C,23
26/05/20 11:45:00 AM,C,28
26/05/20 12:45:00 PM,C,30
26/05/20 1:45:00 PM,C,32.5
26/05/20 2:45:00 PM,C,35
26/05/20 3:45:00 PM,C,34.5
26/05/20 4:45:00 PM,C,34.5
26/05/20 5:45:00 PM,C,30.5
26/05/20 6:45:00 PM,C,13
26/05/20 7:45:00 PM,C,12
26/05/20 8:45:00 PM,C,11
26/05/20 9:45:00 PM,C,11
26/05/20 10:45:00 PM,C,11
26/05/20 11:45:00 PM,C,11
27/05/20 12:45:00 AM,C,11
27/05/20 1:45:00 AM,C,10.5
27/05/20 2:45:00 AM,C,10.5
27/05/20 3:45:00 AM,C,10
27/05/20 4:45:00 AM,C,10
27/05/20 5:45:00 AM,C,10
27/05/20 6:45:00 AM,C,10
27/05/20 7:45:00 AM,C,10.5
27/05/20 8:45:00 AM,C,15.5
27/05/20 9:45:00 AM,C,18.5
27/05/20 10:45:00 AM,C,24.5
27/05/20 11:45:00 AM,C,30.5
27/05/20 12:45:00 PM,C,35
27/05/20 1:45:00 PM,C,38.5
27/05/20 2:45:00 PM,C,39.5
27/05/20 3:45:00 PM,C,33.5
27/05/20 4:45:00 PM,C,36.5
27/05/20 5:45:00 PM,C,33.5
27/05/20 6:45:00 PM,C,28.5
27/05/20 7:45:00 PM,C,12
27/05/20 8:45:00 PM,C,11.5
27/05/20 9:45:00 PM,C,11.5
27/05/20 10:45:00 PM,C,11.5
27/05/20 11:45:00 PM,C,11
28/05/20 12:45:00 AM,C,10.5
28/05/20 1:45:00 AM,C,10.5
28/05/20 2:45:00 AM,C,10.5
28/05/20 3:45:00 AM,C,10
28/05/20 4:45:00 AM,C,10
28/05/20 5:45:00 AM,C,10
28/05/20 6:45:00 AM,C,10
28/05/20 7:45:00 AM,C,10
28/05/20 8:45:00 AM,C,13
28/05/20 9:45:00 AM,C,18.5
28/05/20 10:45:00 AM,C,20.5
28/05/20 11:45:00 AM,C,29
28/05/20 12:45:00 PM,C,36
28/05/20 1:45:00 PM,C,36
28/05/20 2:45:00 PM,C,42
28/05/20 3:45:00 PM,C,37.5
28/05/20 4:45:00 PM,C,35
28/05/20 5:45:00 PM,C,34
28/05/20 6:45:00 PM,C,28.5
28/05/20 7:45:00 PM,C,14
28/05/20 8:45:00 PM,C,11.5
28/05/20 9:45:00 PM,C,10.5
28/05/20 10:45:00 PM,C,11.5
28/05/20 11:45:00 PM,C,11.5
29/05/20 12:45:00 AM,C,11
29/05/20 1:45:00 AM,C,10.5
29/05/20 2:45:00 AM,C,10
29/05/20 3:45:00 AM,C,10.5
29/05/20 4:45:00 AM,C,10.5
29/05/20 5:45:00 AM,C,10
29/05/20 6:45:00 AM,C,10.5
29/05/20 7:45:00 AM,C,10.5
29/05/20 8:45:00 AM,C,10.5
29/05/20 9:45:00 AM,C,11
29/05/20 10:45:00 AM,C,17.5
29/05/20 11:45:00 AM,C,24
29/05/20 12:45:00 PM,C,31
29/05/20 1:45:00 PM,C,34
29/05/20 2:45:00 PM,C,31
29/05/20 3:45:00 PM,C,32.5
29/05/20 4:45:00 PM,C,31
29/05/20 5:45:00 PM,C,25
29/05/20 6:45:00 PM,C,16
29/05/20 7:45:00 PM,C,12.5
29/05/20 8:45:00 PM,C,12
29/05/20 9:45:00 PM,C,12
29/05/20 10:45:00 PM,C,11.5
29/05/20 11:45:00 PM,C,11
30/05/20 12:45:00 AM,C,11
30/05/20 1:45:00 AM,C,10.5
30/05/20 2:45:00 AM,C,10.5
30/05/20 3:45:00 AM,C,10.5
30/05/20 4:45:00 AM,C,10.5
30/05/20 5:45:00 AM,C,10.5
30/05/20 6:45:00 AM,C,10
30/05/20 7:45:00 AM,C,10.5
30/05/20 8:45:00 AM,C,10.5
30/05/20 9:45:00 AM,C,11
30/05/20 10:45:00 AM,C,11.5
30/05/20 11:45:00 AM,C,16.5
30/05/20 12:45:00 PM,C,14.5
30/05/20 1:45:00 PM,C,14
30/05/20 2:45:00 PM,C,14
30/05/20 3:45:00 PM,C,14.5
30/05/20 4:45:00 PM,C,12.5
30/05/20 5:45:00 PM,C,12
30/05/20 6:45:00 PM,C,10.5
30/05/20 7:45:00 PM,C,10.5
30/05/20 8:45:00 PM,C,10.5
30/05/20 9:45:00 PM,C,10.5
30/05/20 10:45:00 PM,C,10.5
30/05/20 11:45:00 PM,C,10
31/05/20 12:45:00 AM,C,10
31/05/20 1:45:00 AM,C,10
31/05/20 2:45:00 AM,C,10
31/05/20 3:45:00 AM,C,10
31/05/20 4:45:00 AM,C,10
31/05/20 5:45:00 AM,C,10
31/05/20 6:45:00 AM,C,10
31/05/20 7:45:00 AM,C,10
31/05/20 8:45:00 AM,C,10
31/05/20 9:45:00 AM,C,10
31/05/20 10:45:00 AM,C,10.5
31/05/20 11:45:00 AM,C,10.5
31/05/20 12:45:00 PM,C,12.5
31/05/20 1:45:00 PM,C,18.5
31/05/20 2:45:00 PM,C,22.5
31/05/20 3:45:00 PM,C,20.5
31/05/20 4:45:00 PM,C,21
31/05/20 5:45:00 PM,C,15
31/05/20 6:45:00 PM,C,13
31/05/20 7:45:00 PM,C,11
31/05/20 8:45:00 PM,C,10.5
31/05/20 9:45:00 PM,C,10.5
31/05/20 10:45:00 PM,C,10.5
31/05/20 11:45:00 PM,C,10.5
01/06/20 12:45:00 AM,C,10
01/06/20 1:45:00 AM,C,10
01/06/20 2:45:00 AM,C,10.5
01/06/20 3:45:00 AM,C,10
01/06/20 4:45:00 AM,C,8.5
01/06/20 5:45:00 AM,C,7.5
01/06/20 6:45:00 AM,C,8
01/06/20 7:45:00 AM,C,10.5
01/06/20 8:45:00 AM,C,15
01/06/20 9:45:00 AM,C,18.5
01/06/20 10:45:00 AM,C,21.5
01/06/20 11:45:00 AM,C,19.5
01/06/20 12:45:00 PM,C,21
01/06/20 1:45:00 PM,C,26
01/06/20 2:45:00 PM,C,18
01/06/20 3:45:00 PM,C,18
01/06/20 4:45:00 PM,C,15
01/06/20 5:45:00 PM,C,18
01/06/20 6:45:00 PM,C,16
01/06/20 7:45:00 PM,C,11.5
01/06/20 8:45:00 PM,C,10.5
01/06/20 9:45:00 PM,C,10.5
01/06/20 10:45:00 PM,C,10.5
01/06/20 11:45:00 PM,C,10.5
02/06/20 12:45:00 AM,C,10.5
02/06/20 1:45:00 AM,C,10.5
02/06/20 2:45:00 AM,C,10.5
02/06/20 3:45:00 AM,C,10.5
02/06/20 4:45:00 AM,C,9.5
