replicate,AMPH,AMSP,ANNE,DIPT,DYSH,EMGR,HAOC,LISC,LISI,LODI,LOPA,LOPE,LOSC,MUCH,MYSP,NERE,NULA,NUOS,OESP,ONBI,PAHI,PAPE,PLAT,POLN,QUBI,SPIO,SYLL,collection_number,CUPS,CYFE,HYME,KATU,LARU,PEWO,ANEL,NEMA,SABE,GNOR,HENU,NUCA,TERE,COLE,BIV1,PHAG,LAVI,TEFU,LERU,OENO,POLY,CYDE,DEPA,site_code,collection_date
1,2,183,0,0,161,5,0,0,6,0,0,19,3,5,36,3,0,1,0,1,5,0,18,3,13,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BO,2021-08-10
2,6,115,0,1,205,2,3,0,14,1,5,17,0,3,17,5,0,1,0,0,0,1,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BO,2021-08-10
3,3,38,2,0,118,2,0,0,19,1,2,15,0,1,21,4,1,0,0,0,1,2,0,0,3,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BO,2021-08-10
4,0,76,0,2,169,0,0,2,330,6,11,0,0,0,19,2,0,2,1,1,0,0,0,0,0,0,140,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BO,2021-08-10
5,0,201,0,0,2,0,0,5,5,0,5,0,0,0,5,19,0,1,0,0,4,0,0,0,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BO,2021-08-10
1,0,38,2,3,104,1,0,10,0,15,42,1,0,0,33,0,0,2,0,11,0,0,0,0,2,33,26,8,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KE,2021-08-10
2,0,42,0,2,222,0,0,17,0,18,26,0,0,3,18,3,0,7,0,0,0,0,0,0,1,7,12,8,1,17,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KE,2021-08-10
3,0,21,2,0,104,0,0,45,3,13,33,4,0,0,11,3,0,7,0,1,0,0,0,0,1,13,5,8,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KE,2021-08-10
4,0,0,2,0,15,5,0,3,1,0,0,0,0,0,19,5,0,1,0,1,0,0,0,0,2,42,35,8,3,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KE,2021-08-10
5,0,3,0,0,45,1,0,18,1,46,35,0,0,3,5,0,0,1,0,0,0,0,0,0,0,5,4,8,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KE,2021-08-10
1,0,13,0,0,247,4,0,10,0,29,25,0,0,0,7,1,0,0,1,20,0,0,0,0,0,0,8,7,0,8,13,0,141,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TP,2021-08-09
2,0,32,0,1,150,1,0,3,0,9,38,2,0,0,7,2,0,0,0,3,0,0,0,0,0,5,10,7,0,6,0,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TP,2021-08-09
3,4,205,0,2,337,2,0,4,0,1,34,4,0,6,8,7,0,3,0,5,1,1,2,0,9,29,11,7,0,9,2,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TP,2021-08-09
4,0,55,0,2,242,0,0,4,0,4,28,4,0,0,9,15,0,4,0,1,0,0,1,0,8,46,10,7,0,23,0,0,0,1,48,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TP,2021-08-09
5,0,232,0,8,252,0,0,6,0,0,18,10,1,0,18,2,0,1,0,5,2,0,5,0,0,26,13,7,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TP,2021-08-09
1,0,3,0,0,8,23,0,0,1,23,42,10,37,0,11,26,0,0,0,2,0,0,0,0,0,13,1,6,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP,2021-08-08
2,0,23,0,0,125,1,0,0,3,33,24,3,15,0,31,0,0,0,0,3,0,0,0,0,0,4,10,6,0,16,0,0,63,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP,2021-08-08
3,0,25,0,0,110,12,0,0,0,32,72,6,13,0,32,3,0,1,0,15,0,0,0,0,0,17,8,6,0,41,0,0,80,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP,2021-08-08
4,0,29,0,0,9,4,0,0,0,28,26,0,39,0,10,0,0,0,0,0,0,0,0,0,0,4,14,6,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP,2021-08-08
5,0,14,11,1,153,32,0,0,0,23,39,39,4,0,24,5,0,0,0,10,0,0,0,0,6,5,11,6,0,62,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP,2021-08-08
1,0,2,0,0,1,0,0,0,73,4,22,1,108,0,94,1,0,0,0,0,0,0,0,0,0,8,10,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SN,2021-08-08
2,0,24,0,2,145,0,0,0,4,0,20,1,36,0,48,2,0,0,0,0,4,0,3,0,0,2,0,5,0,1,40,0,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SN,2021-08-08
3,0,19,1,2,100,15,0,0,7,4,46,6,23,0,176,2,0,0,0,0,0,2,1,0,0,8,30,5,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SN,2021-08-08
4,0,76,0,3,43,0,0,0,6,0,5,3,31,0,83,12,0,2,0,0,2,0,0,0,0,39,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SN,2021-08-08
5,0,38,0,6,115,0,0,0,12,1,8,5,30,0,78,0,0,1,0,0,0,0,0,0,0,2,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SN,2021-08-08
1,0,92,0,0,331,0,0,55,3,0,60,2,0,0,15,2,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TK,2021-08-06
2,0,61,0,5,541,0,0,26,3,1,103,3,0,0,7,0,0,0,0,3,0,0,1,0,0,3,9,4,0,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,TK,2021-08-06
3,0,124,3,3,322,2,0,71,22,3,127,0,0,0,25,0,0,2,0,9,0,2,0,0,0,2,9,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TK,2021-08-06
4,0,55,0,0,79,0,0,35,26,0,117,4,0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TK,2021-08-06
5,0,71,0,1,16,1,0,52,9,0,114,8,0,0,26,1,0,4,0,0,0,0,7,0,0,9,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,TK,2021-08-06
1,0,115,0,5,301,0,0,3,1,1,49,5,0,0,175,4,0,0,0,0,0,0,0,0,0,25,10,3,0,18,0,0,1,0,41,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,TE,2021-08-05
2,4,64,0,0,88,0,0,9,2,0,107,1,0,1,24,0,0,2,0,1,0,0,0,0,0,3,6,3,0,25,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,2021-08-05
3,11,164,4,8,313,0,0,8,4,1,97,1,0,0,75,3,0,2,0,4,0,0,2,0,0,7,61,3,0,24,0,0,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,2021-08-05
4,0,107,0,7,175,0,0,16,0,0,67,0,0,0,35,5,0,0,0,2,0,0,0,0,0,10,10,3,0,13,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,2021-08-05
5,1,129,7,5,11,0,0,12,15,2,51,1,0,0,103,0,0,3,0,118,1,0,5,0,0,1,43,3,0,28,12,2,33,0,10,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,TE,2021-08-05
1,0,12,0,0,83,0,0,1,0,19,14,10,0,1,13,0,0,0,0,45,0,1,0,0,0,2,5,2,0,29,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,SA,2021-04-16
2,0,6,0,1,14,0,0,2,0,31,21,9,0,0,19,0,0,0,0,9,0,0,0,0,0,4,3,2,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SA,2021-04-16
