date,year,month,day,max_temp_C,mean_temp_C,site_code
2021-06-01,2021,06,01,26.9,19.5,BB
2021-06-02,2021,06,02,28.4,20,BB
2021-06-03,2021,06,03,22.9,16.8,BB
2021-06-04,2021,06,04,18.8,14.1,BB
2021-06-05,2021,06,05,17.4,13.4,BB
2021-06-06,2021,06,06,12.7,10.1,BB
2021-06-07,2021,06,07,15.5,10.1,BB
2021-06-08,2021,06,08,17.4,11.2,BB
2021-06-09,2021,06,09,18.1,13.8,BB
2021-06-10,2021,06,10,17.3,12,BB
2021-06-11,2021,06,11,15.3,12.4,BB
2021-06-12,2021,06,12,19,13.1,BB
2021-06-13,2021,06,13,16.6,14.4,BB
2021-06-14,2021,06,14,18.6,14.7,BB
2021-06-15,2021,06,15,19.8,14.8,BB
2021-06-16,2021,06,16,20.7,16.3,BB
2021-06-17,2021,06,17,22.8,15.5,BB
2021-06-18,2021,06,18,21.8,16.7,BB
2021-06-19,2021,06,19,21.5,15.7,BB
2021-06-20,2021,06,20,26.1,19,BB
2021-06-21,2021,06,21,28.9,20.8,BB
2021-06-22,2021,06,22,24,18.2,BB
2021-06-23,2021,06,23,23.4,16.8,BB
2021-06-24,2021,06,24,24.9,17.7,BB
2021-06-25,2021,06,25,31.2,22.2,BB
2021-06-26,2021,06,26,35.7,25.6,BB
2021-06-27,2021,06,27,35.3,27.2,BB
2021-06-28,2021,06,28,37.8,29.5,BB
2021-06-29,2021,06,29,31.5,23.2,BB
2021-06-30,2021,06,30,24.5,19.9,BB
2021-07-01,2021,07,01,22.9,18.7,BB
2021-07-02,2021,07,02,24,18.3,BB
2021-07-03,2021,07,03,24.7,18.4,BB
2021-07-04,2021,07,04,25.8,18.6,BB
2021-07-05,2021,07,05,23.8,18.4,BB
2021-07-06,2021,07,06,25.5,17.9,BB
2021-07-07,2021,07,07,20.5,16.7,BB
2021-07-08,2021,07,08,22.5,16.2,BB
2021-07-09,2021,07,09,25,18.2,BB
2021-07-10,2021,07,10,24.4,18.1,BB
2021-07-11,2021,07,11,25.4,18.1,BB
2021-07-12,2021,07,12,26.4,18.5,BB
2021-07-13,2021,07,13,25.9,18.2,BB
2021-07-14,2021,07,14,23.6,17.3,BB
2021-07-15,2021,07,15,22.6,17.2,BB
2021-07-16,2021,07,16,19.6,15.7,BB
2021-07-17,2021,07,17,22.6,18.6,BB
2021-07-18,2021,07,18,23.6,17.2,BB
2021-07-19,2021,07,19,26.2,18.4,BB
2021-07-20,2021,07,20,23.9,18.7,BB
2021-07-21,2021,07,21,23.3,17.9,BB
2021-07-22,2021,07,22,22.1,16.1,BB
2021-07-23,2021,07,23,23.8,18.1,BB
2021-07-24,2021,07,24,27.2,19.8,BB
2021-07-25,2021,07,25,28.9,20.8,BB
2021-07-26,2021,07,26,26.1,19.1,BB
2021-07-27,2021,07,27,25.2,18.8,BB
2021-07-28,2021,07,28,28.5,19.5,BB
2021-07-29,2021,07,29,29.3,20.2,BB
