date,tide_height_m,hour,site_code
2021-06-25,2.944359,0,CP
2021-06-25,3.064768,1,CP
2021-06-25,3.100696,2,CP
2021-06-25,3.032377,3,CP
2021-06-25,2.81781,4,CP
2021-06-25,2.438971,5,CP
2021-06-25,1.935486,6,CP
2021-06-25,1.362779,7,CP
2021-06-25,0.767419,8,CP
2021-06-25,0.236646,9,CP
2021-06-25,-0.088595,10,CP
2021-06-25,-0.112462,11,CP
2021-06-25,0.130362,12,CP
2021-06-25,0.528575,13,CP
2021-06-25,0.998034,14,CP
2021-06-25,1.489469,15,CP
2021-06-25,1.93968,16,CP
2021-06-25,2.286736,17,CP
2021-06-25,2.519335,18,CP
2021-06-25,2.657191,19,CP
2021-06-25,2.701562,20,CP
2021-06-25,2.662435,21,CP
2021-06-25,2.614353,22,CP
2021-06-25,2.651758,23,CP
2021-06-26,2.783653,0,CP
2021-06-26,2.928341,1,CP
2021-06-26,3.012007,2,CP
2021-06-26,3.013721,3,CP
2021-06-26,2.913713,4,CP
2021-06-26,2.67042,5,CP
2021-06-26,2.273968,6,CP
2021-06-26,1.769778,7,CP
2021-06-26,1.212016,8,CP
2021-06-26,0.650181,9,CP
2021-06-26,0.180135,10,CP
2021-06-26,-0.062128,11,CP
2021-06-26,-0.007623,12,CP
2021-06-26,0.283055,13,CP
2021-06-26,0.696549,14,CP
2021-06-26,1.161859,15,CP
2021-06-26,1.63735,16,CP
2021-06-26,2.061646,17,CP
2021-06-26,2.379138,18,CP
2021-06-26,2.584951,19,CP
2021-06-26,2.696223,20,CP
2021-06-26,2.710988,21,CP
2021-06-26,2.647121,22,CP
2021-06-26,2.587443,23,CP
2021-06-27,2.617226,0,CP
2021-06-27,2.727426,1,CP
2021-06-27,2.834201,2,CP
2021-06-27,2.879319,3,CP
2021-06-27,2.853354,4,CP
2021-06-27,2.735459,5,CP
2021-06-27,2.48394,6,CP
2021-06-27,2.095941,7,CP
2021-06-27,1.620428,8,CP
2021-06-27,1.108585,9,CP
2021-06-27,0.610643,10,CP
2021-06-27,0.224853,11,CP
2021-06-27,0.07354,12,CP
2021-06-27,0.195673,13,CP
2021-06-27,0.511228,14,CP
2021-06-27,0.914823,15,CP
2021-06-27,1.354133,16,CP
2021-06-27,1.795692,17,CP
2021-06-27,2.179483,18,CP
2021-06-27,2.45585,19,CP
2021-06-27,2.625336,20,CP
2021-06-27,2.702296,21,CP
2021-06-27,2.682906,22,CP
2021-06-27,2.592428,23,CP
2021-06-28,2.517351,0,CP
2021-06-28,2.529962,1,CP
2021-06-28,2.606233,2,CP
2021-06-28,2.667802,3,CP
2021-06-28,2.676319,4,CP
2021-06-28,2.632513,5,CP
2021-06-28,2.512047,6,CP
2021-06-28,2.272521,7,CP
2021-06-28,1.917455,8,CP
2021-06-28,1.497429,9,CP
2021-06-28,1.058486,10,CP
2021-06-28,0.64828,11,CP
2021-06-28,0.360968,12,CP
2021-06-28,0.298888,13,CP
2021-06-28,0.472034,14,CP
2021-06-28,0.790066,15,CP
2021-06-28,1.164482,16,CP
2021-06-28,1.563689,17,CP
2021-06-28,1.960085,18,CP
2021-06-28,2.293591,19,CP
2021-06-28,2.520444,20,CP
2021-06-28,2.646208,21,CP
2021-06-28,2.68249,22,CP
2021-06-28,2.624423,23,CP
2021-06-29,2.503473,0,CP
2021-06-29,2.406069,1,CP
2021-06-29,2.390489,2,CP
2021-06-29,2.423178,3,CP
2021-06-29,2.438276,4,CP
2021-06-29,2.418584,5,CP
2021-06-29,2.370997,6,CP
2021-06-29,2.264677,7,CP
2021-06-29,2.056575,8,CP
2021-06-29,1.756446,9,CP
2021-06-29,1.414435,10,CP
2021-06-29,1.068731,11,CP
2021-06-29,0.760777,12,CP
2021-06-29,0.575419,13,CP
2021-06-29,0.592152,14,CP
2021-06-29,0.796711,15,CP
2021-06-29,1.098252,16,CP
2021-06-29,1.43107,17,CP
2021-06-29,1.782506,18,CP
2021-06-29,2.12664,19,CP
2021-06-29,2.402191,20,CP
2021-06-29,2.572099,21,CP
2021-06-29,2.647042,22,CP
2021-06-29,2.635928,23,CP
2021-06-25,2.94918,0,TP
2021-06-25,3.013593,1,TP
