taxon_name,taxon_number,valid_name,original_code,final_code,genus,species,kingdom,phylum,class,order,family,authority,coarse_grouping
Gnorimosphaeroma oregonensis,63,Gnorimosphaeroma oregonense,GNOR,GNOR,Gnorimosphaeroma,oregonense,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,"Dana, 1853",Isopoda
Onchidoris bilamellata,2,Onchidoris bilamellata,ONBI,ONBI,Onchidoris,bilamellata,Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,"Linnaeus, 1767",Gastropoda
Lottia digitalis,3,Lottia digitalis,LODI,LODI,Lottia,digitalis,Animalia,Mollusca,Gastropoda,,Lottidae,"Rathke, 1833",Gastropoda
Lottia paradigitalis,4,Lottia paradigitalis,LOPA,LOPA,Lottia,paradigitalis,Animalia,Mollusca,Gastropoda,,Lottidae,"Fritchman, 1960",Gastropoda
Lottia pelta,5,Lottia pelta,LOPE,LOPE,Lottia,pelta,Animalia,Mollusca,Gastropoda,,Lottidae,"Rathke, 1833",Gastropoda
Littorina sitkana,7,Littorina sitkana,LISI,LISI,Littorina,scutulata,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,"Philippi, 1846",Gastropoda
Littorina scutulata,6,Littorina scutulata,LISC,LISC,Littorina,sitkana,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,"Gould, 1849",Gastropoda
Syllidae,8,Syllidae,SYLL,SYLL,,,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,"Grube, 1850",Polychaeta
Spionidae,9,Spionidae,SPIO,SPIO,,,Animalia,Annelida,Polychaeta,Spionida,Spionidae,"Grube, 1850",Polychaeta
Nereidae,10,Nereidae,NERE,NERE,,,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,"Blainville, 1818",Polychaeta
"Amphipoda, native",11,Amphipoda,AMNA,AMSP,,,Animalia,Arthropoda,Malacostraca,Amphipoda,,"Latreille, 1816",Amphipoda
