year,month,day,time,height_m
2019,6,1,2:19 AM,3
2019,6,1,9:33 AM,0.8
2019,6,1,5:17 PM,2.9
2019,6,1,9:29 PM,2.5
2019,6,2,2:42 AM,3.1
2019,6,2,10:03 AM,0.5
2019,6,2,6:03 PM,3.1
2019,6,2,10:17 PM,2.6
2019,6,3,3:07 AM,3.1
2019,6,3,10:37 AM,0.3
2019,6,3,6:49 PM,3.2
2019,6,3,11:07 PM,2.7
2019,6,4,3:36 AM,3.1
2019,6,4,11:15 AM,0.2
2019,6,4,7:35 PM,3.3
2019,6,5,12:02 AM,2.8
2019,6,5,4:11 AM,3.1
2019,6,5,11:57 AM,0.1
2019,6,5,8:22 PM,3.4
2019,6,6,1:05 AM,2.8
2019,6,6,4:51 AM,3
2019,6,6,12:42 PM,0.1
2019,6,6,9:08 PM,3.4
2019,6,7,2:22 AM,2.7
2019,6,7,5:38 AM,2.9
2019,6,7,1:31 PM,0.3
2019,6,7,9:53 PM,3.4
2019,6,8,3:45 AM,2.6
2019,6,8,6:35 AM,2.7
2019,6,8,2:21 PM,0.5
2019,6,8,10:36 PM,3.4
2019,6,9,5:02 AM,2.3
2019,6,9,7:54 AM,2.5
2019,6,9,3:15 PM,0.8
2019,6,9,11:16 PM,3.4
2019,6,10,6:04 AM,2
2019,6,10,9:47 AM,2.2
2019,6,10,4:12 PM,1.1
2019,6,10,11:53 PM,3.4
2019,6,11,6:53 AM,1.7
2019,6,11,11:59 AM,2.2
2019,6,11,5:14 PM,1.5
2019,6,12,12:27 AM,3.3
2019,6,12,7:35 AM,1.3
2019,6,12,1:55 PM,2.4
2019,6,12,6:20 PM,1.9
2019,6,13,12:58 AM,3.3
2019,6,13,8:13 AM,1
2019,6,13,3:23 PM,2.6
2019,6,13,7:26 PM,2.2
2019,6,14,1:27 AM,3.2
2019,6,14,8:50 AM,0.7
2019,6,14,4:31 PM,2.9
2019,6,14,8:31 PM,2.4
2019,6,15,1:56 AM,3.2
2019,6,15,9:26 AM,0.5
2019,6,15,5:25 PM,3.1
2019,6,15,9:34 PM,2.6
2019,6,16,2:26 AM,3.1
2019,6,16,10:02 AM,0.4
2019,6,16,6:13 PM,3.2
2019,6,16,10:37 PM,2.7
2019,6,17,2:59 AM,3.1
2019,6,17,10:39 AM,0.3
2019,6,17,6:58 PM,3.3
2019,6,17,11:37 PM,2.8
2019,6,18,3:34 AM,3
2019,6,18,11:17 AM,0.3
2019,6,18,7:40 PM,3.3
2019,6,19,12:37 AM,2.8
2019,6,19,4:09 AM,3
2019,6,19,11:55 AM,0.4
2019,6,19,8:20 PM,3.3
2019,6,20,1:38 AM,2.7
2019,6,20,4:45 AM,2.9
2019,6,20,12:33 PM,0.5
2019,6,20,8:57 PM,3.3
2019,6,21,2:41 AM,2.6
2019,6,21,5:21 AM,2.7
2019,6,21,1:10 PM,0.6
2019,6,21,9:32 PM,3.3
2019,6,22,3:45 AM,2.5
2019,6,22,6:01 AM,2.6
2019,6,22,1:47 PM,0.8
2019,6,22,10:03 PM,3.3
2019,6,23,4:47 AM,2.3
2019,6,23,6:54 AM,2.4
2019,6,23,2:25 PM,1
2019,6,23,10:32 PM,3.2
2019,6,24,5:40 AM,2.1
2019,6,24,8:17 AM,2.2
2019,6,24,3:04 PM,1.3
2019,6,24,10:59 PM,3.2
2019,6,25,6:20 AM,1.9
2019,6,25,10:18 AM,2.1
2019,6,25,3:47 PM,1.6
2019,6,25,11:26 PM,3.1
2019,6,26,6:53 AM,1.6
2019,6,26,12:29 PM,2.1
2019,6,26,4:40 PM,1.9
2019,6,26,11:52 PM,3.1
2019,6,27,7:23 AM,1.4
2019,6,27,2:21 PM,2.3
2019,6,27,5:44 PM,2.2
2019,6,28,12:18 AM,3.1
2019,6,28,7:53 AM,1.1
2019,6,28,3:36 PM,2.6
2019,6,28,6:52 PM,2.4
2019,6,29,12:44 AM,3.1
2019,6,29,8:24 AM,0.8
2019,6,29,4:30 PM,2.8
2019,6,29,7:55 PM,2.6
2019,6,30,1:12 AM,3.1
2019,6,30,8:57 AM,0.6
2019,6,30,5:16 PM,3
2019,6,30,8:54 PM,2.7
2019,7,1,1:44 AM,3.2
2019,7,1,9:34 AM,0.3
2019,7,1,5:58 PM,3.2
2019,7,1,9:49 PM,2.8
2019,7,2,2:21 AM,3.2
2019,7,2,10:14 AM,0.1
2019,7,2,6:39 PM,3.3
2019,7,2,10:43 PM,2.9
2019,7,3,3:04 AM,3.2
2019,7,3,10:56 AM,0
2019,7,3,7:19 PM,3.3
2019,7,3,11:40 PM,2.9
2019,7,4,3:53 AM,3.2
2019,7,4,11:41 AM,0
2019,7,4,7:58 PM,3.4
2019,7,5,12:44 AM,2.8
2019,7,5,4:46 AM,3.1
2019,7,5,12:27 PM,0.1
2019,7,5,8:36 PM,3.4
2019,7,6,1:54 AM,2.6
2019,7,6,5:45 AM,2.9
2019,7,6,1:14 PM,0.4
2019,7,6,9:13 PM,3.4
2019,7,7,3:06 AM,2.3
2019,7,7,6:56 AM,2.7
2019,7,7,2:02 PM,0.7
2019,7,7,9:49 PM,3.4
2019,7,8,4:15 AM,2
2019,7,8,8:27 AM,2.4
2019,7,8,2:51 PM,1.1
2019,7,8,10:24 PM,3.4
2019,7,9,5:17 AM,1.7
2019,7,9,10:24 AM,2.3
2019,7,9,3:43 PM,1.5
2019,7,9,10:57 PM,3.4
2019,7,10,6:11 AM,1.3
2019,7,10,12:31 PM,2.3
2019,7,10,4:44 PM,2
2019,7,10,11:30 PM,3.3
2019,7,11,6:59 AM,1
2019,7,11,2:22 PM,2.6
2019,7,11,5:56 PM,2.3
2019,7,12,12:02 AM,3.2
2019,7,12,7:43 AM,0.8
2019,7,12,3:40 PM,2.8
2019,7,12,7:16 PM,2.6
2019,7,13,12:35 AM,3.1
2019,7,13,8:25 AM,0.6
2019,7,13,4:38 PM,3
2019,7,13,8:35 PM,2.7
2019,7,14,1:11 AM,3.1
2019,7,14,9:04 AM,0.5
2019,7,14,5:25 PM,3.2
2019,7,14,9:45 PM,2.8
2019,7,15,1:49 AM,3.1
2019,7,15,9:43 AM,0.4
2019,7,15,6:07 PM,3.2
2019,7,15,10:42 PM,2.8
2019,7,16,2:30 AM,3
2019,7,16,10:21 AM,0.4
2019,7,16,6:44 PM,3.3
2019,7,16,11:31 PM,2.8
2019,7,17,3:11 AM,3
2019,7,17,10:58 AM,0.4
2019,7,17,7:18 PM,3.3
2019,7,18,12:16 AM,2.7
2019,7,18,3:51 AM,2.9
