"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 00:00","2021","07","01","00:00","12.9","","12.1","","95","","0.0","","","M","4","","12.9","","101.02","","","","","","NA"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 01:00","2021","07","01","01:00","12.9","","12.4","","97","","0.0","","17","","8","","8.1","","101.03","","","","","","Fog"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 02:00","2021","07","01","02:00","13.3","","12.5","","95","","0.0","","","","0","","16.1","","101.09","","","","","","NA"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 03:00","2021","07","01","03:00","13.1","","12.8","","98","","0.0","","","M","4","","8.1","","101.10","","","","","","Fog"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 04:00","2021","07","01","04:00","13.2","","12.7","","97","","0.0","","","","0","","16.1","","101.13","","","","","","NA"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 05:00","2021","07","01","05:00","13.2","","12.9","","98","","0.2","","","","0","","2.8","","101.16","","","","","","Fog"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 06:00","2021","07","01","06:00","12.7","","12.4","","98","","0.0","","","M","4","","4.0","","101.20","","","","","","Fog"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 07:00","2021","07","01","07:00","13.0","","12.5","","97","","0.0","","29","","5","","6.4","","101.19","","","","","","Fog"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 08:00","2021","07","01","08:00","13.3","","12.5","","95","","0.0","","31","","5","","8.1","","101.23","","","","","","Fog"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 09:00","2021","07","01","09:00","13.7","","12.3","","91","","0.0","","30","","5","","16.1","","101.26","","","","","","NA"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 10:00","2021","07","01","10:00","14.1","","12.3","","89","","0.0","","32","","9","","16.1","","101.29","","","","","","NA"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 11:00","2021","07","01","11:00","14.8","","12.5","","86","","0.0","","36","","8","","16.1","","101.32","","","","","","NA"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 12:00","2021","07","01","12:00","16.6","","13.0","","79","","0.0","","","M","4","","16.1","","101.33","","","","","","NA"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 13:00","2021","07","01","13:00","17.3","","13.4","","77","","0.0","","","M","5","","16.1","","101.33","","","","","","NA"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 14:00","2021","07","01","14:00","19.2","","13.1","","67","","0.0","","","M","5","","16.1","","101.33","","","","","","NA"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 15:00","2021","07","01","15:00","20.7","","13.5","","63","","0.0","","","M","8","","16.1","","101.32","","","","","","NA"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 16:00","2021","07","01","16:00","20.4","","12.5","","60","","0.0","","30","","8","","16.1","","101.33","","","","","","NA"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 17:00","2021","07","01","17:00","20.1","","10.9","","55","","0.0","","28","","8","","16.1","","101.33","","","","","","NA"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 18:00","2021","07","01","18:00","19.8","","10.1","","53","","0.0","","30","","9","","16.1","","101.34","","","","","","NA"
"-128.16","52.19","BELLA BELLA","1060815","2021-07-01 19:00","2021","07","01","19:00","18.5","","10.6","","60","","0.0","","","M","4","","16.1","","101.36","","","","","","NA"
