"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-07-01 00:00","2021","07","01","00:00","18.6","","12.3","","67","","0.0","","25","","17","","","","101.27","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-07-01 01:00","2021","07","01","01:00","18.3","","12.4","","68","","0.0","","23","","19","","","","101.29","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-07-01 02:00","2021","07","01","02:00","18.5","","12.3","","67","","0.0","","23","","14","","","","101.29","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-07-01 03:00","2021","07","01","03:00","17.2","","12.7","","75","","0.0","","19","","8","","","","101.28","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-07-01 04:00","2021","07","01","04:00","17.7","","12.4","","71","","0.0","","20","","13","","","","101.29","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-07-01 05:00","2021","07","01","05:00","16.5","","12.9","","80","","0.0","","21","","16","","","","101.33","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-07-01 06:00","2021","07","01","06:00","14.0","","11.4","","85","","0.0","","17","","14","","","","101.37","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-07-01 07:00","2021","07","01","07:00","15.2","","13.1","","88","","0.0","","18","","14","","","","101.35","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-07-01 08:00","2021","07","01","08:00","18.1","","13.4","","74","","0.0","","23","","12","","","","101.38","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-07-01 09:00","2021","07","01","09:00","16.3","","12.2","","77","","0.0","","17","","9","","","","101.41","","","","","","NA"
