"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 00:00","2021","06","01","00:00","14.7","","12.1","","85","","0.0","","2","","3","","","","102.03","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 01:00","2021","06","01","01:00","12.3","","9.9","","85","","0.0","","19","","2","","","","102.01","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 02:00","2021","06","01","02:00","14.0","","11.9","","87","","0.0","","1","","7","","","","101.97","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 03:00","2021","06","01","03:00","14.1","","11.6","","85","","0.0","","1","","3","","","","101.97","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 04:00","2021","06","01","04:00","13.7","","11.8","","88","","0.0","","36","","4","","","","101.92","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 05:00","2021","06","01","05:00","13.4","","11.5","","88","","0.0","","1","","6","","","","101.92","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 06:00","2021","06","01","06:00","14.5","","12.5","","88","","0.0","","30","","1","","","","101.91","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 07:00","2021","06","01","07:00","13.4","","11.2","","87","","0.0","","17","","9","","","","101.91","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 08:00","2021","06","01","08:00","16.4","","11.9","","75","","0.0","","18","","4","","","","101.88","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 09:00","2021","06","01","09:00","12.5","","10.3","","86","","0.0","","18","","11","","","","101.86","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 10:00","2021","06","01","10:00","14.1","","11.4","","84","","0.0","","19","","8","","","","101.80","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 11:00","2021","06","01","11:00","16.3","","11.6","","73","","0.0","","18","","12","","","","101.73","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 12:00","2021","06","01","12:00","15.8","","12.2","","79","","0.0","","20","","10","","","","101.66","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 13:00","2021","06","01","13:00","16.6","","11.9","","74","","0.0","","19","","10","","","","101.58","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 14:00","2021","06","01","14:00","17.7","","12.0","","69","","0.0","","18","","11","","","","101.48","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 15:00","2021","06","01","15:00","17.6","","12.2","","71","","0.0","","18","","14","","","","101.40","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 16:00","2021","06","01","16:00","18.1","","11.9","","67","","0.0","","18","","16","","","","101.33","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 17:00","2021","06","01","17:00","19.4","","11.5","","60","","0.0","","18","","17","","","","101.26","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 18:00","2021","06","01","18:00","21.6","","11.2","","52","","0.0","","16","","12","","","","101.20","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 19:00","2021","06","01","19:00","20.9","","11.3","","54","","0.0","","35","","1","","","","101.15","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 20:00","2021","06","01","20:00","19.6","","12.4","","63","","0.0","","4","","3","","","","101.09","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 21:00","2021","06","01","21:00","16.6","","11.4","","72","","0.0","","0","","1","","","","101.08","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 22:00","2021","06","01","22:00","16.4","","12.5","","78","","0.0","","","","0","","","","101.06","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-01 23:00","2021","06","01","23:00","16.4","","12.7","","79","","0.0","","1","","2","","","","101.05","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-02 00:00","2021","06","02","00:00","15.7","","12.6","","82","","0.0","","0","","1","","","","101.06","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-02 01:00","2021","06","02","01:00","16.0","","13.8","","87","","0.0","","1","","5","","","","101.04","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-02 02:00","2021","06","02","02:00","14.8","","13.0","","89","","0.0","","","","0","","","","101.05","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-02 03:00","2021","06","02","03:00","15.3","","13.5","","89","","0.0","","35","","8","","","","101.06","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-02 04:00","2021","06","02","04:00","14.3","","11.2","","82","","0.0","","8","","4","","","","101.11","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-02 05:00","2021","06","02","05:00","12.8","","10.8","","88","","0.0","","18","","4","","","","101.15","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-02 06:00","2021","06","02","06:00","12.9","","10.5","","85","","0.0","","16","","2","","","","101.18","","","","","","NA"
"-123.44","48.43","ESQUIMALT HARBOUR","1012710","2021-06-02 07:00","2021","06","02","07:00","12.7","","10.3","","85","","0.0","","16","","8","","","","101.23","","","","","","NA"
