"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 00:00","2021","07","01","00:00","14.6","","13.7","","94","","","M","33","","6","","","M","101.16","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 01:00","2021","07","01","01:00","14.7","","13.8","","95","","","M","15","","3","","","M","101.16","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 02:00","2021","07","01","02:00","14.8","","13.8","","94","","","M","24","","1","","","M","101.17","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 03:00","2021","07","01","03:00","14.7","","13.8","","94","","","M","23","","4","","","M","101.17","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 04:00","2021","07","01","04:00","14.7","","14.0","","95","","","M","28","","5","","","M","101.18","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 05:00","2021","07","01","05:00","14.7","","14.1","","96","","","M","30","","5","","","M","101.20","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 06:00","2021","07","01","06:00","15.4","","14.5","","94","","","M","33","","2","","","M","101.21","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 07:00","2021","07","01","07:00","16.7","","15.0","","89","","","M","10","","2","","","M","101.23","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 08:00","2021","07","01","08:00","16.5","","15.0","","91","","","M","19","","9","","","M","101.25","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 09:00","2021","07","01","09:00","17.5","","15.1","","86","","","M","18","","11","","","M","101.27","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 10:00","2021","07","01","10:00","17.2","","15.1","","87","","","M","19","","9","","","M","101.28","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 11:00","2021","07","01","11:00","18.3","","15.3","","82","","","M","20","","11","","","M","101.31","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 12:00","2021","07","01","12:00","18.9","","15.8","","82","","","M","19","","12","","","M","101.33","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 13:00","2021","07","01","13:00","18.8","","16.0","","84","","","M","19","","10","","","M","101.35","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 14:00","2021","07","01","14:00","19.9","","15.3","","74","","","M","26","","11","","","M","101.35","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 15:00","2021","07","01","15:00","19.5","","15.4","","77","","","M","20","","13","","","M","101.35","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 16:00","2021","07","01","16:00","20.3","","14.9","","71","","","M","22","","11","","","M","101.31","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 17:00","2021","07","01","17:00","20.4","","15.5","","73","","","M","20","","8","","","M","101.28","","25","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 18:00","2021","07","01","18:00","17.2","","14.7","","85","","","M","16","","18","","","M","101.26","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 19:00","2021","07","01","19:00","17.5","","14.3","","81","","","M","23","","8","","","M","101.27","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 20:00","2021","07","01","20:00","16.2","","14.1","","87","","","M","21","","4","","","M","101.27","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-07-01 21:00","2021","07","01","21:00","14.9","","13.2","","89","","","M","28","","5","","","M","101.29","","","","","","NA"
