"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 00:00","2021","06","01","00:00","13.1","","12.7","","98","","","M","28","","7","","","M","101.83","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 01:00","2021","06","01","01:00","13.0","","12.8","","99","","","M","4","","3","","","M","101.81","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 02:00","2021","06","01","02:00","12.1","","11.9","","99","","","M","36","","2","","","M","101.77","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 03:00","2021","06","01","03:00","11.9","","11.7","","99","","","M","2","","3","","","M","101.75","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 04:00","2021","06","01","04:00","11.4","","11.3","","99","","","M","15","","3","","","M","101.72","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 05:00","2021","06","01","05:00","11.7","","11.6","","99","","","M","30","","5","","","M","101.71","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 06:00","2021","06","01","06:00","13.6","","13.5","","99","","","M","14","","3","","","M","101.70","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 07:00","2021","06","01","07:00","16.1","","15.2","","94","","","M","22","","2","","","M","101.67","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 08:00","2021","06","01","08:00","16.0","","13.7","","86","","","M","17","","9","","","M","101.63","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 09:00","2021","06","01","09:00","16.5","","14.4","","87","","","M","15","","8","","","M","101.62","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 10:00","2021","06","01","10:00","18.5","","15.8","","84","","","M","20","","9","","","M","101.57","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 11:00","2021","06","01","11:00","20.6","","15.8","","74","","","M","20","","9","","","M","101.56","","25","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 12:00","2021","06","01","12:00","22.9","","16.7","","67","","","M","20","","8","","","M","101.49","","28","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 13:00","2021","06","01","13:00","23.9","","14.9","","57","","","M","28","","12","","","M","101.42","","28","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 14:00","2021","06","01","14:00","23.6","","15.8","","61","","","M","29","","19","","","M","101.37","","28","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 15:00","2021","06","01","15:00","23.8","","14.8","","57","","","M","29","","20","","","M","101.30","","28","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 16:00","2021","06","01","16:00","22.9","","15.8","","64","","","M","29","","21","","","M","101.24","","27","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 17:00","2021","06","01","17:00","21.0","","15.0","","68","","","M","30","","25","","","M","101.20","","25","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 18:00","2021","06","01","18:00","20.8","","14.8","","68","","","M","31","","21","","","M","101.12","","25","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 19:00","2021","06","01","19:00","19.9","","14.0","","69","","","M","30","","16","","","M","101.06","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 20:00","2021","06","01","20:00","17.1","","13.2","","77","","","M","30","","14","","","M","101.02","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 21:00","2021","06","01","21:00","15.8","","13.0","","83","","","M","29","","23","","","M","101.04","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 22:00","2021","06","01","22:00","16.0","","13.0","","82","","","M","32","","16","","","M","101.01","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-01 23:00","2021","06","01","23:00","14.2","","12.5","","89","","","M","27","","5","","","M","100.94","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 00:00","2021","06","02","00:00","13.8","","12.8","","94","","","M","32","","15","","","M","101.01","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 01:00","2021","06","02","01:00","14.2","","13.0","","92","","","M","1","","10","","","M","100.94","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 02:00","2021","06","02","02:00","13.1","","12.3","","95","","","M","32","","6","","","M","100.96","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 03:00","2021","06","02","03:00","12.9","","12.2","","95","","","M","2","","3","","","M","100.96","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 04:00","2021","06","02","04:00","12.5","","12.0","","97","","","M","31","","11","","","M","100.99","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 05:00","2021","06","02","05:00","12.7","","12.5","","99","","","M","31","","12","","","M","101.01","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 06:00","2021","06","02","06:00","13.9","","13.6","","98","","","M","30","","12","","","M","101.07","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 07:00","2021","06","02","07:00","16.1","","14.5","","90","","","M","30","","12","","","M","101.11","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 08:00","2021","06","02","08:00","17.3","","14.2","","82","","","M","30","","15","","","M","101.12","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 09:00","2021","06","02","09:00","18.2","","15.1","","82","","","M","29","","14","","","M","101.20","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 10:00","2021","06","02","10:00","19.1","","15.4","","79","","","M","33","","6","","","M","101.23","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 11:00","2021","06","02","11:00","19.0","","15.6","","80","","","M","21","","10","","","M","101.29","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 12:00","2021","06","02","12:00","16.1","","14.4","","89","","","M","18","","15","","","M","101.31","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 13:00","2021","06","02","13:00","17.5","","15.3","","87","","","M","19","","14","","","M","101.31","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 14:00","2021","06","02","14:00","18.0","","14.9","","82","","","M","22","","13","","","M","101.32","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 15:00","2021","06","02","15:00","17.3","","14.8","","85","","","M","21","","12","","","M","101.31","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 16:00","2021","06","02","16:00","17.5","","13.6","","78","","","M","27","","18","","","M","101.32","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 17:00","2021","06","02","17:00","17.4","","13.2","","76","","","M","29","","12","","","M","101.26","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 18:00","2021","06","02","18:00","17.9","","13.5","","75","","","M","28","","10","","","M","101.25","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 19:00","2021","06","02","19:00","17.2","","13.3","","78","","","M","29","","4","","","M","101.20","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 20:00","2021","06","02","20:00","14.1","","13.1","","94","","","M","14","","5","","","M","101.19","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 21:00","2021","06","02","21:00","14.8","","13.1","","89","","","M","31","","9","","","M","101.17","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 22:00","2021","06","02","22:00","14.3","","13.1","","92","","","M","30","","11","","","M","101.21","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-02 23:00","2021","06","02","23:00","14.1","","13.2","","94","","","M","30","","14","","","M","101.23","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-03 00:00","2021","06","03","00:00","13.8","","13.1","","96","","","M","30","","8","","","M","101.24","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-03 01:00","2021","06","03","01:00","13.6","","13.1","","97","","","M","31","","7","","","M","101.23","","","","","","NA"
"-125.77","49.08","TOFINO A","1038210","2021-06-03 02:00","2021","06","03","02:00","13.4","","12.9","","97","","","M","30","","12","","","M","101.19","","","","","","NA"
