1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9F00000050FFA021
Is Mission Active?  true
Mission Start:  Thu Jul 08 07:01:00 PDT 2021
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1855
Total Samples:  18374
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
08/07/21 7:01:00 AM,C,16
08/07/21 8:01:00 AM,C,11.5
08/07/21 9:01:00 AM,C,17
08/07/21 10:01:00 AM,C,21.5
08/07/21 11:01:00 AM,C,26
08/07/21 12:01:00 PM,C,30
08/07/21 1:01:00 PM,C,34
08/07/21 2:01:00 PM,C,32
08/07/21 3:01:00 PM,C,12.5
08/07/21 4:01:00 PM,C,12
08/07/21 5:01:00 PM,C,12
08/07/21 6:01:00 PM,C,12
08/07/21 7:01:00 PM,C,12.5
08/07/21 8:01:00 PM,C,12
08/07/21 9:01:00 PM,C,12
08/07/21 10:01:00 PM,C,12
08/07/21 11:01:00 PM,C,12
09/07/21 12:01:00 AM,C,11.5
09/07/21 1:01:00 AM,C,12
09/07/21 2:01:00 AM,C,11.5
09/07/21 3:01:00 AM,C,11.5
09/07/21 4:01:00 AM,C,11.5
09/07/21 5:01:00 AM,C,11.5
09/07/21 6:01:00 AM,C,11.5
09/07/21 7:01:00 AM,C,12
09/07/21 8:01:00 AM,C,12.5
09/07/21 9:01:00 AM,C,17.5
09/07/21 10:01:00 AM,C,22
09/07/21 11:01:00 AM,C,24.5
09/07/21 12:01:00 PM,C,29
09/07/21 1:01:00 PM,C,30.5
09/07/21 2:01:00 PM,C,33
09/07/21 3:01:00 PM,C,12.5
09/07/21 4:01:00 PM,C,12
09/07/21 5:01:00 PM,C,12
09/07/21 6:01:00 PM,C,11.5
09/07/21 7:01:00 PM,C,11.5
09/07/21 8:01:00 PM,C,11.5
09/07/21 9:01:00 PM,C,11.5
09/07/21 10:01:00 PM,C,12
09/07/21 11:01:00 PM,C,11.5
10/07/21 12:01:00 AM,C,11.5
10/07/21 1:01:00 AM,C,11.5
10/07/21 2:01:00 AM,C,11.5
10/07/21 3:01:00 AM,C,11.5
10/07/21 4:01:00 AM,C,11.5
10/07/21 5:01:00 AM,C,11.5
10/07/21 6:01:00 AM,C,11.5
10/07/21 7:01:00 AM,C,11
10/07/21 8:01:00 AM,C,11.5
10/07/21 9:01:00 AM,C,16
10/07/21 10:01:00 AM,C,20
10/07/21 11:01:00 AM,C,23
10/07/21 12:01:00 PM,C,25.5
10/07/21 1:01:00 PM,C,28
10/07/21 2:01:00 PM,C,29.5
10/07/21 3:01:00 PM,C,19
10/07/21 4:01:00 PM,C,12
10/07/21 5:01:00 PM,C,12
10/07/21 6:01:00 PM,C,12
10/07/21 7:01:00 PM,C,11
10/07/21 8:01:00 PM,C,11.5
10/07/21 9:01:00 PM,C,11.5
10/07/21 10:01:00 PM,C,11
10/07/21 11:01:00 PM,C,11
11/07/21 12:01:00 AM,C,11
11/07/21 1:01:00 AM,C,11
11/07/21 2:01:00 AM,C,11
11/07/21 3:01:00 AM,C,11
11/07/21 4:01:00 AM,C,11
11/07/21 5:01:00 AM,C,10.5
11/07/21 6:01:00 AM,C,11
11/07/21 7:01:00 AM,C,11
11/07/21 8:01:00 AM,C,11
11/07/21 9:01:00 AM,C,17.5
