1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EB00000051023021
Is Mission Active?  true
Mission Start:  Fri Apr 16 13:01:00 PDT 2021
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1969
Total Samples:  16435
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
2021-04-16, 1:01:00 p.m.,C,23.5
2021-04-16, 2:01:00 p.m.,C,24
2021-04-16, 3:01:00 p.m.,C,24.5
2021-04-16, 4:01:00 p.m.,C,24.5
2021-04-16, 5:01:00 p.m.,C,21.5
2021-04-16, 6:01:00 p.m.,C,13
2021-04-16, 7:01:00 p.m.,C,9
2021-04-16, 8:01:00 p.m.,C,9
2021-04-16, 9:01:00 p.m.,C,9
2021-04-16, 10:01:00 p.m.,C,9
2021-04-16, 11:01:00 p.m.,C,9
2021-04-17, 12:01:00 a.m.,C,9
2021-04-17, 1:01:00 a.m.,C,9
2021-04-17, 2:01:00 a.m.,C,9
2021-04-17, 3:01:00 a.m.,C,9
2021-04-17, 4:01:00 a.m.,C,9
2021-04-17, 5:01:00 a.m.,C,9
2021-04-17, 6:01:00 a.m.,C,9
2021-04-17, 7:01:00 a.m.,C,9
2021-04-17, 8:01:00 a.m.,C,9
2021-04-17, 9:01:00 a.m.,C,9
2021-04-17, 10:01:00 a.m.,C,11.5
2021-04-17, 11:01:00 a.m.,C,16.5
2021-04-17, 12:01:00 p.m.,C,23.5
2021-04-17, 1:01:00 p.m.,C,22
2021-04-17, 2:01:00 p.m.,C,22.5
2021-04-17, 3:01:00 p.m.,C,22
2021-04-17, 4:01:00 p.m.,C,23.5
2021-04-17, 5:01:00 p.m.,C,23
2021-04-17, 6:01:00 p.m.,C,23
2021-04-17, 7:01:00 p.m.,C,10
2021-04-17, 8:01:00 p.m.,C,9.5
2021-04-17, 9:01:00 p.m.,C,9.5
2021-04-17, 10:01:00 p.m.,C,9.5
2021-04-17, 11:01:00 p.m.,C,9.5
2021-04-18, 12:01:00 a.m.,C,9.5
2021-04-18, 1:01:00 a.m.,C,9
2021-04-18, 2:01:00 a.m.,C,9.5
2021-04-18, 3:01:00 a.m.,C,9
2021-04-18, 4:01:00 a.m.,C,9
2021-04-18, 5:01:00 a.m.,C,9
2021-04-18, 6:01:00 a.m.,C,9
2021-04-18, 7:01:00 a.m.,C,9
2021-04-18, 8:01:00 a.m.,C,9
2021-04-18, 9:01:00 a.m.,C,9
2021-04-18, 10:01:00 a.m.,C,10
2021-04-18, 11:01:00 a.m.,C,15.5
2021-04-18, 12:01:00 p.m.,C,18.5
2021-04-18, 1:01:00 p.m.,C,21
2021-04-18, 2:01:00 p.m.,C,22.5
2021-04-18, 3:01:00 p.m.,C,23.5
2021-04-18, 4:01:00 p.m.,C,24.5
2021-04-18, 5:01:00 p.m.,C,24.5
2021-04-18, 6:01:00 p.m.,C,22
2021-04-18, 7:01:00 p.m.,C,21
2021-04-18, 8:01:00 p.m.,C,9.5
2021-04-18, 9:01:00 p.m.,C,9.5
2021-04-18, 10:01:00 p.m.,C,9.5
2021-04-18, 11:01:00 p.m.,C,9
2021-04-19, 12:01:00 a.m.,C,9
2021-04-19, 1:01:00 a.m.,C,9.5
2021-04-19, 2:01:00 a.m.,C,9
2021-04-19, 3:01:00 a.m.,C,9
2021-04-19, 4:01:00 a.m.,C,9
2021-04-19, 5:01:00 a.m.,C,9
2021-04-19, 6:01:00 a.m.,C,9
2021-04-19, 7:01:00 a.m.,C,9
2021-04-19, 8:01:00 a.m.,C,9
2021-04-19, 9:01:00 a.m.,C,9.5
2021-04-19, 10:01:00 a.m.,C,9.5
2021-04-19, 11:01:00 a.m.,C,15
2021-04-19, 12:01:00 p.m.,C,19
2021-04-19, 1:01:00 p.m.,C,22
2021-04-19, 2:01:00 p.m.,C,24
2021-04-19, 3:01:00 p.m.,C,26
2021-04-19, 4:01:00 p.m.,C,25
2021-04-19, 5:01:00 p.m.,C,26
2021-04-19, 6:01:00 p.m.,C,24.5
2021-04-19, 7:01:00 p.m.,C,21.5
2021-04-19, 8:01:00 p.m.,C,13.5
2021-04-19, 9:01:00 p.m.,C,9.5
2021-04-19, 10:01:00 p.m.,C,9.5
2021-04-19, 11:01:00 p.m.,C,9.5
2021-04-20, 12:01:00 a.m.,C,9.5
2021-04-20, 1:01:00 a.m.,C,9.5
2021-04-20, 2:01:00 a.m.,C,9.5
2021-04-20, 3:01:00 a.m.,C,9
