site_code,transect,number_live,number_dead,cover_live,cover_dead,number_ANEL,algal_cover_per25sq,algal_prop_cover
RP,1,22,0,,,28,9,0.36
RP,1,13,1,,,28,8.25,0.33
RP,1,24,0,,,25,10,0.4
RP,1,20,0,,,34,7.5,0.3
RP,1,22,1,,,16,0.75,0.03
RP,1,2,0,,,4,0.5,0.02
RP,1,17,0,,,1,0.25,0.01
RP,1,4,0,,,15,1.5,0.06
RP,1,23,0,,,0,0,0
RP,1,22,0,,,26,5.5,0.22
RP,2,31,0,,,12,4.75,0.19
RP,2,15,4,,,6,5.5,0.22
RP,2,23,5,,,9,5,0.2
RP,2,20,1,,,9,10,0.4
RP,2,19,2,,,10,8.75,0.35
RP,2,18,3,,,3,0.5,0.02
RP,2,16,0,,,4,18.5,0.74
RP,2,27,3,,,17,3.5,0.14
RP,2,13,4,,,7,6.5,0.26
RP,2,9,2,,,20,11.5,0.46
RP,3,17,0,,,34,5.75,0.23
RP,3,18,1,,,12,1.5,0.06
RP,3,28,1,,,3,2.25,0.09
RP,3,26,0,,,24,7,0.28
RP,3,29,0,,,35,5.25,0.21
RP,3,10,0,,,10,1,0.04
RP,3,21,0,,,26,2,0.08
RP,3,19,1,,,25,5,0.2
RP,3,34,0,,,14,3.25,0.13
RP,3,30,2,,,6,0.25,0.01
EP,1,63,2,,,0,2,0.08
EP,1,32,0,,,0,2,0.08
EP,1,68,3,,,0,0.75,0.03
EP,1,67,0,,,0,1.25,0.05
EP,1,6,1,,,0,9.25,0.37
EP,1,14,4,,,0,8.5,0.34
EP,1,47,0,,,0,0,0
EP,1,51,0,,,0,0.5,0.02
EP,1,10,0,,,0,5,0.2
EP,1,11,1,,,0,12.75,0.51
EP,2,10,0,,,0,3.5,0.14
EP,2,19,0,,,0,9.25,0.37
EP,2,6,0,,,0,2.75,0.11
EP,2,4,0,,,0,3,0.12
EP,2,46,0,,,0,5,0.2
EP,2,17,0,,,0,10,0.4
EP,2,15,0,,,0,12.5,0.5
EP,2,33,0,,,0,1,0.04
EP,2,14,0,,,0,1.5,0.06
EP,2,32,0,,,0,2.75,0.11
EP,3,36,1,,,0,0.25,0.01
EP,3,30,2,,,5,0,0
EP,3,13,3,,,27,1,0.04
EP,3,21,2,,,15,10,0.4
EP,3,36,2,,,21,1,0.04
EP,3,30,2,,,13,4.5,0.18
EP,3,40,7,,,18,0.25,0.01
EP,3,23,0,,,0,0,0
EP,3,17,0,,,0,3.25,0.13
EP,3,24,0,,,0,1,0.04
FC,1,31,0,5.75,0,0,11.5,0.46
FC,1,33,0,9.25,0,0,3.25,0.13
FC,1,44,48,11,5,0,0.75,0.03
FC,1,48,2,9.5,0.25,0,0.1,0.004
FC,1,49,0,9.25,0,0,21,0.84
FC,1,45,4,11,0.5,0,20,0.8
FC,1,53,0,12,0,0,5.5,0.22
FC,1,48,1,9,0.15,0,2,0.08
FC,1,58,6,14.5,8.75,0,11.25,0.45
FC,1,60,6,13,0.75,0,3.5,0.14
FC,2,45,2,,,0,9,0.36
FC,2,65,3,,,0,8,0.32
FC,2,53,3,,,0,4.75,0.19
FC,2,8,9,,,0,2.75,0.11
FC,2,34,11,,,0,12.25,0.49
FC,2,37,16,,,0,5.75,0.23
FC,2,53,3,,,0,2.25,0.09
FC,2,24,13,,,0,8,0.32
FC,2,9,3,,,0,0,0
FC,2,81,15,,,0,6.5,0.26
FC,3,77,1,,,0,18.5,0.74
FC,3,61,1,,,0,13,0.52
FC,3,58,2,,,0,0.5,0.02
FC,3,67,4,,,0,3.5,0.14
FC,3,41,5,,,0,1,0.04
FC,3,71,11,,,0,12.75,0.51
FC,3,85,14,,,0,8,0.32
