site_code,transect,number_live,number_dead,cover_live,cover_dead,number_ANEL,algal_cover_per25sq,algal_prop_cover
TE,1,22,0,,,28,9,0.36
TE,1,13,1,,,28,8.25,0.33
TE,1,24,0,,,25,10,0.4
TE,1,20,0,,,34,7.5,0.3
TE,1,22,1,,,16,0.75,0.03
TE,1,2,0,,,4,0.5,0.02
TE,1,17,0,,,1,0.25,0.01
TE,1,4,0,,,15,1.5,0.06
TE,1,23,0,,,0,0,0
TE,1,22,0,,,26,5.5,0.22
TE,2,31,0,,,12,4.75,0.19
TE,2,15,4,,,6,5.5,0.22
TE,2,23,5,,,9,5,0.2
TE,2,20,1,,,9,10,0.4
TE,2,19,2,,,10,8.75,0.35
TE,2,18,3,,,3,0.5,0.02
TE,2,16,0,,,4,18.5,0.74
TE,2,27,3,,,17,3.5,0.14
TE,2,13,4,,,7,6.5,0.26
TE,2,9,2,,,20,11.5,0.46
TE,3,17,0,,,34,5.75,0.23
TE,3,18,1,,,12,1.5,0.06
TE,3,28,1,,,3,2.25,0.09
TE,3,26,0,,,24,7,0.28
TE,3,29,0,,,35,5.25,0.21
TE,3,10,0,,,10,1,0.04
TE,3,21,0,,,26,2,0.08
TE,3,19,1,,,25,5,0.2
TE,3,34,0,,,14,3.25,0.13
TE,3,30,2,,,6,0.25,0.01
TK,1,63,2,,,0,2,0.08
TK,1,32,0,,,0,2,0.08
TK,1,68,3,,,0,0.75,0.03
TK,1,67,0,,,0,1.25,0.05
TK,1,6,1,,,0,9.25,0.37
TK,1,14,4,,,0,8.5,0.34
TK,1,47,0,,,0,0,0
TK,1,51,0,,,0,0.5,0.02
TK,1,10,0,,,0,5,0.2
TK,1,11,1,,,0,12.75,0.51
TK,2,10,0,,,0,3.5,0.14
TK,2,19,0,,,0,9.25,0.37
TK,2,6,0,,,0,2.75,0.11
TK,2,4,0,,,0,3,0.12
TK,2,46,0,,,0,5,0.2
TK,2,17,0,,,0,10,0.4
TK,2,15,0,,,0,12.5,0.5
TK,2,33,0,,,0,1,0.04
TK,2,14,0,,,0,1.5,0.06
TK,2,32,0,,,0,2.75,0.11
TK,3,36,1,,,0,0.25,0.01
TK,3,30,2,,,5,0,0
TK,3,13,3,,,27,1,0.04
TK,3,21,2,,,15,10,0.4
TK,3,36,2,,,21,1,0.04
TK,3,30,2,,,13,4.5,0.18
TK,3,40,7,,,18,0.25,0.01
TK,3,23,0,,,0,0,0
TK,3,17,0,,,0,3.25,0.13
TK,3,24,0,,,0,1,0.04
FC,1,31,0,5.75,0,0,11.5,0.46
FC,1,33,0,9.25,0,0,3.25,0.13
FC,1,44,48,11,5,0,0.75,0.03
FC,1,48,2,9.5,0.25,0,0.1,0.004
