block,treatment_original_numeric,plot_number,shore_level,treatment_final_numeric
1,3,1,1.2717,2
1,4,2,1.2717,4
1,1,3,1.2717,1
1,2,4,1.2717,3
2,4,5,1.2717,4
2,1,6,1.2717,1
2,2,7,1.2717,3
2,3,8,1.2717,2
3,3,9,1.2717,2
3,4,10,1.2717,4
3,1,11,1.2717,1
3,2,12,1.2717,3
4,3,13,1.2717,2
4,2,14,1.2717,3
4,4,15,1.2717,4
4,1,16,1.2717,1
5,3,17,1.2717,2
5,4,18,1.2717,4
5,2,19,1.2717,3
5,1,20,1.2717,1
6,1,21,1.2717,1
6,4,22,1.2717,4
6,2,23,1.2717,3
6,3,24,1.2717,2
7,3,25,1.1672,2
7,4,26,1.1672,4
7,1,27,1.1672,1
7,2,28,1.1672,3
8,4,29,1.1672,4
8,2,30,1.1672,3
8,1,31,1.1672,1
8,3,32,1.1672,2
9,1,33,1.1672,1
9,3,34,1.1672,2
9,2,35,1.1672,3
9,4,36,1.1672,4
10,4,37,1.1672,4
10,3,38,1.1672,2
10,1,39,1.1672,1
10,2,40,1.1672,3
11,1,41,1.1672,1
11,2,42,1.1672,3
11,4,43,1.1672,4
11,3,44,1.1672,2
12,1,45,1.1672,1
12,4,46,1.1672,4
12,2,47,1.1672,3
12,3,48,1.1672,2
