plot_number,trip_no,trip_date,notes,survey_id
1,1,2021-04-16,,1
2,1,2021-04-16,,2
3,1,2021-04-16,,3
4,1,2021-04-16,,4
5,1,2021-04-16,,5
6,1,2021-04-16,,6
7,1,2021-04-16,,7
8,1,2021-04-16,,8
9,1,2021-04-16,,9
10,1,2021-04-16,,10
11,1,2021-04-16,,11
12,1,2021-04-16,,12
13,1,2021-04-16,,13
14,1,2021-04-16,,14
15,1,2021-04-16,,15
16,1,2021-04-16,,16
17,1,2021-04-16,,17
18,1,2021-04-16,,18
19,1,2021-04-16,,19
20,1,2021-04-16,,20
21,1,2021-04-16,,21
22,1,2021-04-16,,22
23,1,2021-04-16,,23
24,1,2021-04-16,,24
25,1,2021-04-16,,25
26,1,2021-04-16,,26
27,1,2021-04-16,,27
28,1,2021-04-16,,28
29,1,2021-04-16,,29
30,1,2021-04-16,,30
31,1,2021-04-16,,31
32,1,2021-04-16,,32
33,1,2021-04-16,,33
34,1,2021-04-16,,34
35,1,2021-04-16,,35
36,1,2021-04-16,,36
37,1,2021-04-16,,37
38,1,2021-04-16,,38
39,1,2021-04-16,,39
40,1,2021-04-16,,40
41,1,2021-04-16,,41
42,1,2021-04-16,,42
43,1,2021-04-16,,43
44,1,2021-04-16,,44
45,1,2021-04-16,,45
46,1,2021-04-16,,46
47,1,2021-04-16,,47
48,1,2021-04-16,,48
1,2,2021-07-07,,49
2,2,2021-07-07,,50
3,2,2021-07-07,,51
4,2,2021-07-07,,52
5,2,2021-07-07,,53
6,2,2021-07-07,,54
7,2,2021-07-07,,55
8,2,2021-07-07,,56
9,2,2021-07-07,,57
10,2,2021-07-07,,58
11,2,2021-07-07,,59
12,2,2021-07-07,,60
13,2,2021-07-07,,61
14,2,2021-07-07,,62
15,2,2021-07-07,missing_new,63
16,2,2021-07-07,,64
17,2,2021-07-08,,65
18,2,2021-07-08,,66
19,2,2021-07-08,,67
20,2,2021-07-08,,68
21,2,2021-07-08,,69
22,2,2021-07-08,,70
23,2,2021-07-08,,71
24,2,2021-07-08,,72
25,2,2021-07-08,,73
26,2,2021-07-08,,74
27,2,2021-07-08,,75
28,2,2021-07-08,,76
29,2,2021-07-08,,77
30,2,2021-07-08,,78
31,2,2021-07-08,,79
32,2,2021-07-08,,80
33,2,2021-07-08,,81
34,2,2021-07-08,,82
35,2,2021-07-08,missing_new,83
36,2,2021-07-08,missing_new,84
37,2,2021-07-08,,85
38,2,2021-07-08,,86
39,2,2021-07-08,,87
40,2,2021-07-08,missing_new,88
41,2,2021-07-08,,89
42,2,2021-07-08,,90
43,2,2021-07-08,,91
44,2,2021-07-08,,92
45,2,2021-07-08,,93
46,2,2021-07-08,,94
47,2,2021-07-08,,95
48,2,2021-07-08,,96
1,3,2021-08-21,,97
2,3,2021-08-21,missing_new,98
3,3,2021-08-21,missing_new,99
4,3,2021-08-21,,100
5,3,2021-08-21,,101
6,3,2021-08-21,,102
7,3,2021-08-21,missing_new,103
8,3,2021-08-21,,104
9,3,2021-08-21,,105
10,3,2021-08-21,missing_new,106
11,3,2021-08-21,missing_new,107
12,3,2021-08-21,,108
13,3,2021-08-21,,109
14,3,2021-08-21,,110
15,3,2021-08-21,missing_old,111
16,3,2021-08-21,,112
17,3,2021-08-21,,113
18,3,2021-08-21,missing_new,114
19,3,2021-08-21,,115
20,3,2021-08-21,,116
21,3,2021-08-21,,117
22,3,2021-08-21,,118
23,3,2021-08-21,,119
24,3,2021-08-21,,120
25,3,2021-08-21,,121
26,3,2021-08-21,,122
27,3,2021-08-21,,123
28,3,2021-08-21,,124
29,3,2021-08-21,missing_new,125
30,3,2021-08-21,,126
31,3,2021-08-21,,127
32,3,2021-08-21,,128
33,3,2021-08-21,,129
34,3,2021-08-21,,130
35,3,2021-08-21,missing_old,131
36,3,2021-08-21,missing_old,132
37,3,2021-08-21,missing_new,133
38,3,2021-08-21,,134
39,3,2021-08-21,,135
40,3,2021-08-21,missing_old,136
41,3,2021-08-21,,137
42,3,2021-08-21,,138
43,3,2021-08-21,,139
44,3,2021-08-21,,140
45,3,2021-08-21,,141
46,3,2021-08-21,missing_new,142
47,3,2021-08-21,missing_new,143
48,3,2021-08-21,,144
