taxon_name,taxon_number,valid_name,taxon_code,genus,species,kingdom,phylum,class,order,family,authority
Gnorimosphaeroma oregonensis,1,Gnorimosphaeroma oregonense,GNOR,Gnorimosphaeroma,oregonense,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,"Dana, 1853"
Onchidoris bilamellata,2,Onchidoris bilamellata,ONBI,Onchidoris,bilamellata,Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,"Linnaeus, 1767"
Lottia digitalis,3,Lottia digitalis,LODI,Lottia,digitalis,Animalia,Mollusca,Gastropoda,,Lottidae,"Rathke, 1833"
Lottia paradigitalis,4,Lottia paradigitalis,LOPA,Lottia,paradigitalis,Animalia,Mollusca,Gastropoda,,Lottidae,"Fritchman, 1960"
Lottia pelta,5,Lottia pelta,LOPE,Lottia,pelta,Animalia,Mollusca,Gastropoda,,Lottidae,"Rathke, 1833"
Littorina sitkana,7,Littorina sitkana,LISI,Littorina,scutulata,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,"Philippi, 1846"
Littorina scutulata,6,Littorina scutulata,LISC,Littorina,sitkana,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,"Gould, 1849"
Syllidae,8,Syllidae,SYLL,,,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,"Grube, 1850"
Spionidae,9,Spionidae,SPIO,,,Animalia,Annelida,Polychaeta,Spionida,Spionidae,"Grube, 1850"
Nereidae,10,Nereidae,NERE,,,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,"Blainville, 1818"
"Amphipoda, native",11,Amphipoda,AMNA,,,Animalia,Arthropoda,Malacostraca,Amphipoda,,"Latreille, 1816"
Amphipoda larvae,12,Amphipoda,AMLA,,,Animalia,Arthropoda,Malacostraca,Amphipoda,,"Latreille, 1816"
"Amphipoda, invasive",13,Amphipoda,AMIN,,,Animalia,Arthropoda,Malacostraca,Amphipoda,,"Latreille, 1816"
Cyanoplax fernaldi,14,Cyanoplax fernaldi,CYFE,Cyanoplax,fernaldi,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,"Eernisse, 1986"
Anthopleura elegantissima,15,Anthopleura elegantissima,ANEL,Anthopleura,elegantissima,Animalia,Cnidaria,Anthozoa,Actinaria,Actiniidae,"Brandt, 1835"
Mytilus trossulus,16,Mytilus trossulus,MYTR,Mytilus,trossulus,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,"Gould, 1850"
Paranemertes peregrina,17,Paranemertes peregrina,PAPE,Paranemertes,peregrina,Animalia,Nemertea,Hoplonemertea,Monostilifera,Neesiidae,"Coe, 1901"
Emplectonema gracile,18,Emplectonema gracile,EMGR,Emplectonema,gracile,Animalia,Nemertea,Hoplonemertea,Monostilifera,Emplectonematidae,"Johnston, 1837"
Tetrastemma bicolor,19,Quasitetrastemma bicolor,QUBI,Quasitetrastemma,bicolor,Animalia,Nemertea,Hoplonemertea,Monostilifera,,"Coe, 1901"
Amphiporus sp.,20,Amphiporus sp.,AMSP,Amphiporus,,Animalia,Nemertea,Hoplonemertea,Monostilifera,Amphiporidae,"Ehrenberg, 1831"
Munna chromatocephala,21,Munna chromatocephala,MUCH,Munna,chromatocephala,Animalia,Arthropoda,Malacostraca,Isopoda,Munnidae,"Menzies, 1952"
Hymenoptera,22,Hymenoptera,HYME,,,Animalia,Arthropoda,Insecta,Hymenoptera,,
Diptera,23,Diptera,DIPT,,,Animalia,Arthropoda,Insecta,Diptera,,
Coleoptera,24,Coleoptera,COLE,,,Animalia,Arthropoda,Insecta,Coleoptera,,
Polychaeta,52,Polychaeta,POLY,,,Animalia,Annelida,Polychaeta,,,"Grube, 1850"
Lasaea rubra,25,Lasaea rubra,LARU,Lasaea,rubra,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,"Montagu, 1803"
Platyhelminthes,26,Platyhelminthes,PLAT,,,Animalia,Platyhelminthes,,,,"Minot, 1876"
Mytilus californianus,27,Mytilus californianus,MYCA,Mytilus,californianus,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,"Conrad, 1837"
Nucella ostrina,28,Nucella ostrina,NUOS,Nucella,ostrina,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,"Gould, 1852"
