plot_number,PESP,BAGL,CADI,SECA,EMGR,LOPA,LODI,LISC,LOSC,LISI,LOPE,HISP,ONBI,AMPH,MYSP,FUDI,ENMU,ULLA,ANEL,NULA,NUOS,NUCA,ISOP,COVA,MASP,POPL,PAHI
1,0.02,95,52,0,0,3,0,1,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0.1,107,41,19,0,4,0,1,0,0,0,0.04,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
3,0,2,1,52,0,16,20,10,0,1,0,0.01,1,0,5,0.004,0,0,0,1,0,0,0,0,0,0,0
4,0,8,2,50,0,5,17,15,0,1,0,0.02,1,0,5,0.004,0,0,0,0,0,0,0,0,0,0,0
5,0,224,31,9,0,12,1,2,0,0,1,0.02,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0
6,0.004,12,1,46,0,13,21,0,0,0,0,0.03,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0
7,0,5,0,37,0,11,21,0,0,0,1,0.03,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0
8,0.03,53,53,0,0,2,0,0,0,1,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.02,175,40,0,0,5,1,3,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,292,18,8,0,11,4,5,0,0,0,0.05,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
11,0.02,13,1,4,0,20,3,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.004,5,0,44,0,14,21,1,0,0,0,0.04,0,1,2,0,0,0.004,3,0,0,0,0,0,0,0,0
13,0,23,23,1,0,16,0,1,0,0,0,0.06,0,0,1,0,0,0,13,0,0,0,0,0.03,0,0,0
14,0.02,10,2,31,0,12,2,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0.01,0,0,0
15,0.01,116,57,0,0,10,4,1,0,0,0,0.08,0,0,0,0,0,0,0,0,0,1,0,0,0.01,0,0
17,0.02,166,32,0,0,18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
