plot_number,trip_date,notes
1,2021-04-16,
2,2021-04-16,
3,2021-04-16,
4,2021-04-16,
5,2021-04-16,
6,2021-04-16,
7,2021-04-16,
8,2021-04-16,
9,2021-04-16,
10,2021-04-16,
11,2021-04-16,
12,2021-04-16,
13,2021-04-16,
14,2021-04-16,
15,2021-04-16,
16,2021-04-16,
17,2021-04-16,
18,2021-04-16,
19,2021-04-16,
20,2021-04-16,
21,2021-04-16,
22,2021-04-16,
23,2021-04-16,
24,2021-04-16,
25,2021-04-16,
26,2021-04-16,
27,2021-04-16,
28,2021-04-16,
29,2021-04-16,
30,2021-04-16,
31,2021-04-16,
32,2021-04-16,
33,2021-04-16,
34,2021-04-16,
35,2021-04-16,
36,2021-04-16,
37,2021-04-16,
38,2021-04-16,
39,2021-04-16,
40,2021-04-16,
41,2021-04-16,
42,2021-04-16,
43,2021-04-16,
44,2021-04-16,
45,2021-04-16,
46,2021-04-16,
47,2021-04-16,
48,2021-04-16,
1,2021-07-07,
2,2021-07-07,
3,2021-07-07,
4,2021-07-07,
5,2021-07-07,
6,2021-07-07,
7,2021-07-07,
8,2021-07-07,
9,2021-07-07,
10,2021-07-07,
11,2021-07-07,
12,2021-07-07,
13,2021-07-07,
14,2021-07-07,
15,2021-07-07,missing_new
16,2021-07-07,
17,2021-07-08,
18,2021-07-08,
19,2021-07-08,
20,2021-07-08,
21,2021-07-08,
22,2021-07-08,
23,2021-07-08,
24,2021-07-08,
25,2021-07-08,
26,2021-07-08,
27,2021-07-08,
28,2021-07-08,
29,2021-07-08,
30,2021-07-08,
31,2021-07-08,
32,2021-07-08,
33,2021-07-08,
34,2021-07-08,
35,2021-07-08,missing_new
36,2021-07-08,missing_new
37,2021-07-08,
38,2021-07-08,
39,2021-07-08,
40,2021-07-08,missing_new
41,2021-07-08,
42,2021-07-08,
43,2021-07-08,
44,2021-07-08,
45,2021-07-08,
46,2021-07-08,
47,2021-07-08,
48,2021-07-08,
1,2021-08-21,
2,2021-08-21,missing_new
3,2021-08-21,missing_new
4,2021-08-21,
5,2021-08-21,
6,2021-08-21,
7,2021-08-21,missing_new
8,2021-08-21,
9,2021-08-21,
10,2021-08-21,missing_new
11,2021-08-21,missing_new
12,2021-08-21,
13,2021-08-21,
14,2021-08-21,
15,2021-08-21,missing_old
16,2021-08-21,
17,2021-08-21,
18,2021-08-21,missing_new
19,2021-08-21,
20,2021-08-21,
21,2021-08-21,
22,2021-08-21,
23,2021-08-21,
24,2021-08-21,
25,2021-08-21,
26,2021-08-21,
27,2021-08-21,
28,2021-08-21,
29,2021-08-21,missing_new
30,2021-08-21,
31,2021-08-21,
32,2021-08-21,
33,2021-08-21,
34,2021-08-21,
35,2021-08-21,missing_old
36,2021-08-21,missing_old
37,2021-08-21,missing_new
38,2021-08-21,
39,2021-08-21,
40,2021-08-21,missing_old
41,2021-08-21,
42,2021-08-21,
43,2021-08-21,
44,2021-08-21,
45,2021-08-21,
46,2021-08-21,missing_new
47,2021-08-21,missing_new
48,2021-08-21,
