date,block,treatment_original_numeric,SECA,BAGL,CHDA,LOPA,LODI,LISI,LISC,MASP,FUDI,MYSP,ANEL,cyrripedia_recruit,POPL,COVA,NERE,AMPH,ISOP,ONBI,LOPE,ENMU,LOSC,HISP,ULSP,NUOS,POLY,AMSP
2021-07-07,1,3,1,71,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0
2021-07-07,1,4,10,113,26,8,0,0,3,7,0.05,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0
2021-07-07,1,1,65,3,5,39,21,2,18,1.6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021-07-07,1,2,61,3,2,21,31,1,8,4,1,3,0,0,4,0,0,0,0,1,4,0,0,1,0,0,0,0
2021-07-07,2,4,6,373,28,10,1,0,0,4,1,1,0,0,0,0,0,0,0,8,2,0,0,4,0,0,0,0
2021-07-07,2,1,45,7,3,8,33,0,0,2,0.6,1,8,0,0,0,0,1,0,0,2,0,0,9,0,0,0,0
2021-07-07,2,2,44,1,0,5,20,0,0,0,0,0,8,0,0,0.05,0,0,0,0,3,0,0,0,0,0,0,0
2021-07-07,2,3,0,151,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-07,3,3,0,304,30,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
2021-07-07,3,4,27,425,49,7,2,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0
2021-07-07,3,1,21,1,1,12,12,0,2,3,0,0,3,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0
2021-07-07,3,2,60,21,1,15,27,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0
2021-07-07,4,3,0,50,3,9,0,0,1,0,0,0,28,0,0,0,0,0,0,0,11,0.05,0,0,0,0,0,0
2021-07-07,4,2,28,9,1,11,12,0,0,1.4,0,0,27,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
2021-07-07,4,4,0,155,20,1,0,0,2,0,0.05,0,0,0,0,1,0,0,0,0,1,0,0,80,0,0,0,0
2021-07-07,4,1,13,0,0,7,18,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2021-07-08,5,3,0,325,34,3,2,0,5,1,1.2,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2021-07-08,5,4,58,556,10,4,11,0,4,1.6,0,0,0,0,7,0,0,0,0,3,3,0,0,1.6,0,0,0,0
2021-07-08,5,2,79,98,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,1,0,0
2021-07-08,5,1,12,16,1,7,15,0,8,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5.4,0,0,0,0
2021-07-08,6,1,1,6,2,0,4,0,13,0,0.05,2,0,0,0,0,0,1,0,1,1,0,0,9,0,0,0,0
2021-07-08,6,4,24,178,22,7,2,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,30,0,0,0,0
2021-07-08,6,2,32,33,7,16,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,1
2021-07-08,6,3,0,31,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,0,0,0
2021-07-08,7,3,0,3,2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
2021-07-08,7,4,2,206,10,7,1,0,0,0,1.4,0,6,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0
2021-07-08,7,1,4,22,3,6,2,0,10,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-08,7,2,45,1,1,11,0,0,1,1.6,8,0,6,0,0,0,0,0,0,0,4,1.2,0,2,0,0,0,0
2021-07-07,8,4,2,12,2,4,0,0,0,0,2.4,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2021-07-07,8,2,52,0,0,0,21,0,3,2,0,0,2,0,1,0,0,0,0,0,5,2,0,2,0,0,0,0
2021-07-07,8,1,0,1,0,2,4,0,12,4,0.4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2021-07-07,8,3,1,18,0,6,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-08,9,1,0,0,16,1,0,0,13,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
2021-07-08,9,3,7,7,0,0,0,0,0,2.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2021-07-08,9,2,0,0,0,3,1,0,24,1.4,0,0,4,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0
2021-07-08,9,4,2,7,2,15,1,0,0,4.8,0.2,0,15,0,0,0,0,0,0,0,2,0,0,4.4,0,0,0,0
2021-07-08,10,4,0,181,15,11,0,0,0,0.4,0,0,6,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
2021-07-08,10,3,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
2021-07-08,10,1,16,7,12,0,3,2,8,1.6,5.6,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0
2021-07-08,10,2,12,0,0,14,1,1,17,2.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0
2021-07-08,11,1,42,0,1,18,12,0,11,1.2,0,0,11,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0
2021-07-08,11,2,0,21,2,7,6,0,0,4.8,0,0,9,0,0,0,0,0,0,0,6,0,0,2,0,1,0,0
